measurement_id:ID,:LABEL,label,notes
MEAS_PE002010_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002010 in 1921,
MEAS_PE002010_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002010 in 1921,
MEAS_PE002010_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002010 in 1921,
MEAS_PE002010_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002010 in 1921,
MEAS_PE002010_1921_EUR_AUSTRIAN,E16_Measurement,EUR_AUSTRIAN for PE002010 in 1921,
MEAS_PE002010_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE002010 in 1921,
MEAS_PE002010_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE002010 in 1921,
MEAS_PE002010_1921_ASIA_SYRIAN,E16_Measurement,ASIA_SYRIAN for PE002010 in 1921,
MEAS_PE002011_1921_POP_TOT,E16_Measurement,POP_TOT for PE002011 in 1921,
MEAS_PE002011_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002011 in 1921,
MEAS_PE002011_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002011 in 1921,
MEAS_PE002011_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002011 in 1921,
MEAS_PE002011_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002011 in 1921,
MEAS_PE002011_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE002011 in 1921,
MEAS_PE002012_1921_POP_TOT,E16_Measurement,POP_TOT for PE002012 in 1921,
MEAS_PE002012_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002012 in 1921,
MEAS_PE002012_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002012 in 1921,
MEAS_PE002012_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002012 in 1921,
MEAS_PE002012_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002012 in 1921,
MEAS_PE002012_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE002012 in 1921,
MEAS_PE002013_1921_POP_TOT,E16_Measurement,POP_TOT for PE002013 in 1921,
MEAS_PE002013_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002013 in 1921,
MEAS_PE002013_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002013 in 1921,
MEAS_PE002013_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002013 in 1921,
MEAS_PE002013_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002013 in 1921,
MEAS_PE002013_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE002013 in 1921,
MEAS_PE002013_1921_EUR_SCANDINAVIAN,E16_Measurement,EUR_SCANDINAVIAN for PE002013 in 1921,
MEAS_PE002014_1921_POP_TOT,E16_Measurement,POP_TOT for PE002014 in 1921,
MEAS_PE002014_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002014 in 1921,
MEAS_PE002014_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002014 in 1921,
MEAS_PE002014_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002014 in 1921,
MEAS_PE002014_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002014 in 1921,
MEAS_PE002014_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE002014 in 1921,
MEAS_PE002014_1921_EUR_OTHER,E16_Measurement,EUR_OTHER for PE002014 in 1921,
MEAS_PE002014_1921_UNSPECIFIED,E16_Measurement,UNSPECIFIED for PE002014 in 1921,
MEAS_PE002015_1921_POP_TOT,E16_Measurement,POP_TOT for PE002015 in 1921,
MEAS_PE002015_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002015 in 1921,
MEAS_PE002015_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002015 in 1921,
MEAS_PE002015_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002015 in 1921,
MEAS_PE002015_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002015 in 1921,
MEAS_PE002016_1921_POP_TOT,E16_Measurement,POP_TOT for PE002016 in 1921,
MEAS_PE002016_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002016 in 1921,
MEAS_PE002016_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002016 in 1921,
MEAS_PE002016_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002016 in 1921,
MEAS_PE002016_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002016 in 1921,
MEAS_PE002016_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE002016 in 1921,
MEAS_PE002016_1921_EUR_ITALIAN,E16_Measurement,EUR_ITALIAN for PE002016 in 1921,
MEAS_PE002017_1921_POP_TOT,E16_Measurement,POP_TOT for PE002017 in 1921,
MEAS_PE002017_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002017 in 1921,
MEAS_PE002017_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002017 in 1921,
