dimension_id:ID,:LABEL,value:float,value_string
DIM_AB001016_1911_BRIT_SCOTCH,E54_Dimension,36.0,
DIM_AB001016_1911_FRENCH,E54_Dimension,2.0,
DIM_AB001016_1911_GERMAN,E54_Dimension,5.0,
DIM_AB001016_1911_AUSTRO_HUNGARIAN,E54_Dimension,16.0,
DIM_AB001016_1911_BULGARIAN_AND_RUMANIAN,E54_Dimension,2.0,
DIM_AB001016_1911_CHINESE,E54_Dimension,4.0,
DIM_AB001016_1911_ITALIAN,E54_Dimension,44.0,
DIM_AB001016_1911_POLISH,E54_Dimension,35.0,
DIM_AB001016_1911_RUSSIAN,E54_Dimension,2.0,
DIM_AB001016_1911_SCANDINAVIAN,E54_Dimension,1.0,
DIM_AB001016_1911_UNSPECIFIED,E54_Dimension,10.0,
DIM_AB001017_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001017_1911_BRIT_ENGLISH,E54_Dimension,32.0,
DIM_AB001017_1911_BRIT_IRISH,E54_Dimension,14.0,
DIM_AB001017_1911_BRIT_SCOTCH,E54_Dimension,13.0,
DIM_AB001017_1911_BRIT_OTHER,E54_Dimension,1.0,
DIM_AB001017_1911_GERMAN,E54_Dimension,1.0,
DIM_AB001017_1911_SCANDINAVIAN,E54_Dimension,1.0,
DIM_AB001017_1911_UNSPECIFIED,E54_Dimension,92.0,
DIM_AB001018_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001018_1911_BRIT_ENGLISH,E54_Dimension,121.0,
DIM_AB001018_1911_BRIT_IRISH,E54_Dimension,39.0,
DIM_AB001018_1911_BRIT_SCOTCH,E54_Dimension,84.0,
DIM_AB001018_1911_BRIT_OTHER,E54_Dimension,15.0,
DIM_AB001018_1911_FRENCH,E54_Dimension,7.0,
DIM_AB001018_1911_GERMAN,E54_Dimension,31.0,
DIM_AB001018_1911_BELGIAN,E54_Dimension,3.0,
DIM_AB001018_1911_CHINESE,E54_Dimension,10.0,
DIM_AB001018_1911_DUTCH,E54_Dimension,15.0,
DIM_AB001018_1911_SCANDINAVIAN,E54_Dimension,7.0,
DIM_AB001018_1911_SWISS,E54_Dimension,3.0,
DIM_AB001018_1911_UNSPECIFIED,E54_Dimension,196.0,
DIM_AB002001_1911_BRIT_ENGLISH,E54_Dimension,4381.0,
DIM_AB002001_1911_BRIT_IRISH,E54_Dimension,1944.0,
DIM_AB002001_1911_BRIT_SCOTCH,E54_Dimension,2381.0,
DIM_AB002001_1911_BRIT_OTHER,E54_Dimension,128.0,
DIM_AB002001_1911_FRENCH,E54_Dimension,4105.0,
DIM_AB002001_1911_GERMAN,E54_Dimension,2970.0,
DIM_AB002001_1911_AUSTRO_HUNGARIAN,E54_Dimension,1136.0,
DIM_AB002001_1911_BELGIAN,E54_Dimension,242.0,
DIM_AB002001_1911_BULGARIAN_AND_RUMANIAN,E54_Dimension,21.0,
DIM_AB002001_1911_CHINESE,E54_Dimension,12.0,
DIM_AB002001_1911_DUTCH,E54_Dimension,125.0,
DIM_AB002001_1911_INDIAN,E54_Dimension,45.0,
DIM_AB002001_1911_ITALIAN,E54_Dimension,46.0,
DIM_AB002001_1911_JEWISH,E54_Dimension,8.0,
DIM_AB002001_1911_NEGRO,E54_Dimension,273.0,
DIM_AB002001_1911_POLISH,E54_Dimension,236.0,
DIM_AB002001_1911_RUSSIAN,E54_Dimension,297.0,
DIM_AB002001_1911_SCANDINAVIAN,E54_Dimension,1430.0,
DIM_AB002001_1911_SWISS,E54_Dimension,49.0,
DIM_AB002001_1911_UNSPECIFIED,E54_Dimension,1809.0,
DIM_AB002002_1911_BRIT_ENGLISH,E54_Dimension,143.0,
DIM_AB002002_1911_BRIT_IRISH,E54_Dimension,72.0,
DIM_AB002002_1911_BRIT_SCOTCH,E54_Dimension,134.0,
DIM_AB002002_1911_FRENCH,E54_Dimension,379.0,
DIM_AB002002_1911_GERMAN,E54_Dimension,25.0,
DIM_AB002002_1911_INDIAN,E54_Dimension,1623.0,
DIM_AB002002_1911_SCANDINAVIAN,E54_Dimension,30.0,
DIM_AB002002_1911_SWISS,E54_Dimension,1.0,
DIM_AB002002_1911_UNSPECIFIED,E54_Dimension,16.0,
DIM_AB002003_1911_BRIT_ENGLISH,E54_Dimension,360.0,
