tcpuid_1881,csd_name_1881,cd_name_1881,pr_1881,tcpuid_1891,csd_name_1891,cd_name_1891,pr_1891,relationship,iou,frac_from,frac_to,name_similarity
PE003006,Township No. 42,King's,PE,PE134006,Township No. 42,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003005,Township No. 43,King's,PE,PE134007,Township No. 43,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003004,Township No. 44,King's,PE,PE134008,Township No. 44,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003003,Township No. 45,King's,PE,PE134009,Township No. 45,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003002,Township No. 46,King's,PE,PE134010,Township No. 46,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003001,Township No. 47,King's,PE,PE134011,Township No. 47,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003016,Township No. 51,King's,PE,PE134012,Township No. 51,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003015,Township No. 52,King's,PE,PE134013,Township No. 52,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003014,Township No. 53,King's,PE,PE134014,Township No. 53,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003013,Township No. 54,King's,PE,PE134015,Township No. 54,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003012,Township No. 55,King's,PE,PE134016,Township No. 55,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003011,Township No. 56,King's,PE,PE134017,Township No. 56,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003018,Township No. 59,King's,PE,PE134018,Township No. 59,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003019,Township No. 61,King's,PE,PE134019,Township No. 61,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003020,Township No. 63,King's,PE,PE134020,Township No. 63,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003021,Township No. 64,King's,PE,PE134021,Township No. 64,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003017,Township No. 66,King's,PE,PE134022,Township No. 66,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003022,Georgetown Royalty,King's,PE,PE134001,Georgetown Royalty,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE001001,Township No. 1,Prince,PE,PE135002,Township No. 1,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001002,Township No. 2,Prince,PE,PE135003,Township No. 2,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001003,Township No. 3,Prince,PE,PE135004,Township No. 3,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001004,Township No. 4,Prince,PE,PE135005,Township No. 4,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001005,Township No. 5,Prince,PE,PE135006,Township No. 5,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001006,Township No. 6,Prince,PE,PE135007,Township No. 6,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001007,Township No. 7,Prince,PE,PE135008,Township No. 7,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001008,Township No. 8,Prince,PE,PE135009,Township No. 8,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001009,Township No. 9,Prince,PE,PE135010,Township No. 9,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001010,Township No. 10,Prince,PE,PE135011,Township No. 10,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001011,Township No. 11,Prince,PE,PE135012,Township No. 11,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
