person_id,person_name,person_qid,dcb_url,event_type,event_year,census_year,place_id,place_label,geonames_id,geonames_name,match_strategy,confidence
lincs:3py9zyNiZRO,George Gladman,,http://www.biographi.ca/en/bio/gladman_george_9E.html,death,1863,1861,PLACE_ON108005_1891,Hope,6111882,Port Hope,pip,high
lincs:3sOfd07HWS2,John Joseph Cassidy,,http://www.biographi.ca/en/bio/cassidy_john_joseph_14E.html,birth,1843,1851,PLACE_ON026001,Whitby,,Centre de l'Ontario,pip,high
lincs:3tnUVdfsM7D,John Moser,,http://www.biographi.ca/en/bio/moser_john_13E.html,death,1907,1911,PLACE_NB027005,Havelock,6139317,Salem,pip,high
lincs:3uTB1ymDoRZ,Hugolin Lemay,,http://www.biographi.ca/en/bio/lemay_hugolin_16E.html,death,1938,1921,PLACE_QC076013_1921,"Montréal, C",6077243,Montreal,pip,high
lincs:3ucfJtlG7Wm,Rachel Jeffrey Coutts,,http://www.biographi.ca/en/bio/coutts_rachel_jeffrey_16E.html,birth,1863,1861,PLACE_ON110006,Maidstone,6955983,Southwestern Ontario,pip,high
lincs:3ucfJtlG7Wm,Rachel Jeffrey Coutts,,http://www.biographi.ca/en/bio/coutts_rachel_jeffrey_16E.html,death,1940,1921,PLACE_AB194026,"Calgary, C",5913490,Calgary,pip,high
lincs:3vdp45D6L8P,Samuel Dickson,,http://www.biographi.ca/en/bio/dickson_samuel_9E.html,death,1870,1871,PLACE_ON112007_1911,Otonabee,6101645,Peterborough,pip,high
lincs:3yM3W3AtzG6,Robert McVicar,,http://www.biographi.ca/en/bio/mcvicar_robert_9E.html,death,1864,1861,PLACE_ON106002,"Sault Ste. Marie, Village",6166142,Thunder Bay,pip,high
lincs:468abfbdWyx,Charles-Désiré-Joseph Wugk,,http://www.biographi.ca/en/bio/wugk_charles_desire_joseph_9E.html,death,1862,1861,PLACE_QC107004,"Côte St. Louis, Village",6077243,Montreal,pip,high
lincs:4CEbH5h43aq,Eric Brown,,http://www.biographi.ca/en/bio/brown_eric_16E.html,death,1939,1921,PLACE_ON105011_1921,"Ottawa, C",,"Ottawa, Ontario",pip,high
lincs:4CpMnQcypmV,Grace Sarah Hall Thompson,,http://www.biographi.ca/en/bio/thompson_grace_sarah_hall_13E.html,birth,1850,1851,PLACE_ON026001,Whitby,,Centre de l'Ontario,pip,high
lincs:4E5mguW81Df,Wilhelmina Gordon,,http://www.biographi.ca/en/bio/gordon_wilhelmina_15E.html,death,1925,1921,PLACE_NB024008,St. Andrews,6137411,Saint Andrews,pip,high
lincs:4JHy17jHLDY,Louis Archambault,,http://www.biographi.ca/en/bio/archambault_louis_13E.html,birth,1829,1851,PLACE_QC059001,L’Assomption,6050263,L'Assomption,pip,high
lincs:4JHy17jHLDY,Louis Archambault,,http://www.biographi.ca/en/bio/archambault_louis_13E.html,death,1906,1901,PLACE_QC151006,St. Eustache,6138175,Saint-Eustache,pip,high
lincs:4M6dxZ8qrwX,John Muir,,http://www.biographi.ca/en/bio/muir_john_11E.html,death,1883,1881,PLACE_BC192005,"Sooke Lake, Highland, &c.",6151264,Sooke,pip,high
lincs:4NSYlbBC4eQ,Eliza Margaret Mackenzie,,http://www.biographi.ca/en/bio/mackenzie_eliza_margaret_16E.html,birth,1879,1881,PLACE_PE136021,Township No. 60,5954427,Flat River,pip,high
lincs:4NSYlbBC4eQ,Eliza Margaret Mackenzie,,http://www.biographi.ca/en/bio/mackenzie_eliza_margaret_16E.html,death,1937,1921,PLACE_PE003020,Township 60,5954427,Flat River,pip,high
lincs:4TBXHifjXyS,Alexander Topp,,http://www.biographi.ca/en/bio/topp_alexander_10E.html,death,1879,1881,PLACE_ON135004,"Yorkville, Village",,Toronto,pip,high
lincs:4b43DfZZwvc,Washington Christian,,http://www.biographi.ca/en/bio/christian_washington_7E.html,death,1850,1851,PLACE_ON138001_1911,York,,Toronto,pip,high
lincs:4bsEKTJsXaG,Joseph Emanuel Armstrong,,http://www.biographi.ca/en/bio/armstrong_joseph_emanuel_16E.html,birth,1864,1861,PLACE_ON089012,"Whitby, West",,Centre de l'Ontario,pip,high
lincs:4bsEKTJsXaG,Joseph Emanuel Armstrong,,http://www.biographi.ca/en/bio/armstrong_joseph_emanuel_16E.html,death,1931,1921,PLACE_ON122004_1921,Enniskillen,6103581,Petrolia,pip,high
lincs:4jUjEqWoVhJ,Andrew Thomson,,http://www.biographi.ca/en/bio/thomson_andrew_13E.html,death,1907,1911,PLACE_QC188006,"Québec, St. Roch ward-quartier",,Quebec City,pip,high
lincs:4mM7ar6W1Ue,Georges-Auguste Dion,,http://www.biographi.ca/en/bio/dion_georges_auguste_14E.html,birth,1852,1851,PLACE_QC081017,"Québec, cité",6325494,Québec,pip,high
lincs:4mM7ar6W1Ue,Georges-Auguste Dion,,http://www.biographi.ca/en/bio/dion_georges_auguste_14E.html,death,1918,1921,PLACE_QC076013_1921,"Montréal, C",,Côte-des-Neiges,pip,high
lincs:4nS13MmOegR,William Shives Fisher,,http://www.biographi.ca/en/bio/fisher_william_shives_16E.html,death,1931,1921,PLACE_NB032005,"St. John, C",6138517,Saint John,pip,high
lincs:4oQpNlibGTg,Joseph Harding Webster,,http://www.biographi.ca/en/bio/webster_joseph_harding_9E.html,death,1868,1871,PLACE_PE136001,City of Charlottetown and Royalty,,Charlottetown,pip,high
lincs:4qOu334sqJG,Stuart Easton Mackechnie,,http://www.biographi.ca/en/bio/mackechnie_stuart_easton_8E.html,death,1853,1851,PLACE_ON132012_1911,"Cobourg, Town",5924579,Cobourg,pip,high
lincs:4rFMNryxzF8,Julien Chabot,,http://www.biographi.ca/en/bio/chabot_julien_9E.html,birth,1801,1851,PLACE_QC075010,St. Laurent,11903570,Saint-Laurent-d'Orléans,pip,high
lincs:4rFMNryxzF8,Julien Chabot,,http://www.biographi.ca/en/bio/chabot_julien_9E.html,death,1864,1861,PLACE_QC169001_1911,Notre Dame de la Victoire,,"Lévis, Que",pip,high
lincs:4uDNjdWQjbg,James Douglas Haszard,,http://www.biographi.ca/en/bio/haszard_james_douglas_10E.html,death,1875,1871,PLACE_PE136001,City of Charlottetown and Royalty,5920288,Charlottetown,pip,high
lincs:4wPYH802PPd,George Goodridge Roberts,,http://www.biographi.ca/en/bio/roberts_george_goodridge_13E.html,death,1905,1901,PLACE_NB036016,"Fredericton, City—Cité",,"Fredericton, N.B",pip,high
lincs:4wUcXxgklm5,Ovide-Arthur Rocque,,http://www.biographi.ca/en/bio/rocque_ovide_arthur_15E.html,birth,1847,1851,PLACE_ON145003,Osnabruck,,Eastern Ontario,pip,high
lincs:4xHAWI2IotP,Marguerite Lamothe,,http://www.biographi.ca/en/bio/lamothe_marguerite_16E.html,birth,1853,1851,PLACE_QC065010,St. Louis,6077243,Montreal,pip,high
lincs:4xHAWI2IotP,Marguerite Lamothe,,http://www.biographi.ca/en/bio/lamothe_marguerite_16E.html,death,1939,1921,PLACE_QC076013_1921,"Montréal, C",6077243,Montreal,pip,high
lincs:4ytjNBIZF03,Edwin Carswell,,http://www.biographi.ca/en/bio/carswell_edwin_14E.html,birth,1858,1861,PLACE_ON089012,"Whitby, West",,Centre de l'Ontario,pip,high
lincs:4ytjNBIZF03,Edwin Carswell,,http://www.biographi.ca/en/bio/carswell_edwin_14E.html,death,1919,1921,PLACE_AB194026,"Calgary, C",5913490,Calgary,pip,high
lincs:50vsbwDD1pv,Joseph-Noé Ponton,,http://www.biographi.ca/en/bio/ponton_joseph_noe_15E.html,death,1929,1921,PLACE_QC076013_1921,"Montréal, C",6077243,Montreal,pip,high
lincs:5BHWZ6q9RJc,William Dale,,http://www.biographi.ca/en/bio/dale_william_15E.html,death,1921,1921,PLACE_ON137001_1891,Blanchard,6157062,St. Marys,pip,high
lincs:5BWIKwhw1BA,James Paul Byrne,,http://www.biographi.ca/en/bio/byrne_james_paul_16E.html,birth,1869,1871,PLACE_NB016001,Bathurst,6087430,"Bathurst, New Brunswick",pip,high
lincs:5BWIKwhw1BA,James Paul Byrne,,http://www.biographi.ca/en/bio/byrne_james_paul_16E.html,death,1934,1921,PLACE_NB025001,Bathurst,,"Bathurst, New Brunswick",pip,high
lincs:5Ew7Da58dEw,Romain Savoie,,http://www.biographi.ca/en/bio/savoie_romain_14E.html,death,1914,1911,PLACE_NB029001,Alnwick,6943718,Neguac,pip,high
