var_code,year,presence_count
VAR_CLOTH_PC_YD,1871,44
VAR_CLOTH_PF_YD,1851,753
VAR_CLOTH_PF_YD,1861,937
VAR_CLOTH_PL_YD,1851,454
VAR_CLOTH_PL_YD,1861,607
VAR_CLOTH_XX_N,1871,6
VAR_CONGREGATIONALISTS,1911,756
VAR_CONGREGATIONALISTS,1921,1358
VAR_CRN_XX_A,1851,665
VAR_CRN_XX_A,1861,734
VAR_CRN_XX_B,1851,673
VAR_CRN_XX_B,1861,772
VAR_CRN_XX_B,1871,40
VAR_CRN_XX_B,1881,1797
VAR_CRN_XX_B,1891,1799
VAR_CTL_CH_N,1851,800
VAR_CTL_CH_N,1861,994
VAR_CTL_MX_N,1851,805
VAR_CTL_MX_N,1861,1064
VAR_CTL_MX_N,1891,2463
VAR_CTL_OB_N,1851,799
VAR_CTL_OB_N,1861,999
VAR_CTL_OTH_N,1891,2447
VAR_CTL_OX_N,1891,2000
VAR_CTL_PC_LB,1851,551
VAR_CTL_PC_LB,1861,655
VAR_CTL_PC_LB,1871,67
VAR_CTL_PC_LB,1891,1327
VAR_CTL_SX_N,1891,2375
VAR_CTL_XX_N,1871,71
VAR_DISCIPLES,1911,366
VAR_DISCIPLES_OF_CHRIST,1921,495
VAR_DIST_EX_N,1851,104
VAR_DIST_NR_N,1851,58
VAR_DIST_PX_G,1851,75
VAR_DIST_XC_N,1851,101
VAR_DIST_XR_N,1851,144
VAR_DIST_XX_N,1851,165
VAR_DTH_01to02F_N,1851,354
VAR_DTH_01to02F_N,1861,507
VAR_DTH_01to02M_N,1851,368
VAR_DTH_01to02M_N,1861,509
VAR_DTH_02to03F_N,1851,237
VAR_DTH_02to03F_N,1861,322
VAR_DTH_02to03M_N,1851,244
VAR_DTH_02to03M_N,1861,338
VAR_DTH_03to04F_N,1851,178
VAR_DTH_03to04F_N,1861,246
VAR_DTH_03to04M_N,1851,184
VAR_DTH_03to04M_N,1861,265
VAR_DTH_04to05F_N,1851,152
VAR_DTH_04to05F_N,1861,189
VAR_DTH_04to05M_N,1851,149
VAR_DTH_04to05M_N,1861,187
VAR_DTH_05to10F_N,1851,268
VAR_DTH_05to10F_N,1861,336
VAR_DTH_05to10M_N,1851,289
VAR_DTH_05to10M_N,1861,346
VAR_DTH_0to01F_N,1851,557
VAR_DTH_0to01F_N,1861,752
VAR_DTH_0to01M_N,1851,600
VAR_DTH_0to01M_N,1861,777
VAR_DTH_10to15F_N,1851,184
VAR_DTH_10to15F_N,1861,260
VAR_DTH_10to15M_N,1851,172
VAR_DTH_10to15M_N,1861,260
VAR_DTH_15to20F_N,1851,216
VAR_DTH_15to20F_N,1861,289
VAR_DTH_15to20M_N,1851,232
VAR_DTH_15to20M_N,1861,260
VAR_DTH_20to30F_N,1851,321
VAR_DTH_20to30F_N,1861,469
VAR_DTH_20to30M_N,1851,289
VAR_DTH_20to30M_N,1861,435
VAR_DTH_30to40F_N,1851,311
VAR_DTH_30to40F_N,1861,423
VAR_DTH_30to40M_N,1851,250
VAR_DTH_30to40M_N,1861,357
VAR_DTH_40to50F_N,1851,232
VAR_DTH_40to50F_N,1861,320
VAR_DTH_40to50M_N,1851,247
VAR_DTH_40to50M_N,1861,360
VAR_DTH_50to60F_N,1851,217
VAR_DTH_50to60F_N,1861,272
VAR_DTH_50to60M_N,1851,233
VAR_DTH_50to60M_N,1861,352
VAR_DTH_60to70F_N,1851,206
VAR_DTH_60to70F_N,1861,327
VAR_DTH_60to70M_N,1851,232
VAR_DTH_60to70M_N,1861,387
VAR_DTH_70to80F_N,1851,181
VAR_DTH_70to80F_N,1861,299
VAR_DTH_70to80M_N,1851,231
VAR_DTH_70to80M_N,1861,344
VAR_DTH_80to90F_N,1851,98
VAR_DTH_80to90F_N,1861,168
VAR_DTH_80to90M_N,1851,148
VAR_DTH_80to90M_N,1861,223
VAR_DTH_90to100F_N,1851,32
VAR_DTH_90to100F_N,1861,68
VAR_DTH_90to100M_N,1851,31
VAR_DTH_90to100M_N,1861,68
VAR_DTH_FX_N,1851,781
VAR_DTH_FX_N,1861,980
VAR_DTH_MX_N,1851,786
VAR_DTH_MX_N,1861,993
VAR_DTH_NF_N,1851,317
VAR_DTH_NF_N,1861,250
VAR_DTH_NM_N,1851,397
VAR_DTH_NM_N,1861,257
VAR_DTH_XX_N,1851,819
VAR_DTH_XX_N,1861,1016
VAR_DTH_XX_N,1871,70
VAR_DTH_ov100F_N,1851,6
VAR_DTH_ov100F_N,1861,18
VAR_DTH_ov100M_N,1851,5
VAR_DTH_ov100M_N,1861,5
VAR_DUTCH,1911,1112
VAR_DWELLINGS,1911,3168
VAR_EASTERN_RELIGIONS,1921,854
VAR_EDU_LF_N,1861,1007
VAR_EDU_LM_N,1861,1013
VAR_EDU_SF_N,1851,790
VAR_EDU_SF_N,1861,1013
VAR_EDU_SM_N,1851,793
VAR_EDU_SM_N,1861,1013
VAR_ETH_FC_N,1851,764
VAR_ETH_FC_N,1861,959
