dcb_personId,dcb_name,dcb_birthYear,dcb_deathYear,dcb_url_en,wikidataQid,census_unique_identifier,census_namlast,census_namfrst,census_age,census_sex,census_birthplace_label,persistent_place_id,tcpuid_csd_1881,person_uri,leaf_url,match_method,confidence
lincs:A5OYF5yztnH,Susan Frances Riley,1857,1935,http://www.biographi.ca/en/bio/riley_susan_frances_16E.html,,860217203,riley,susan,24,Female,Ontario,PLACE_ON120003,ON134006,https://jimclifford.ca/hgiscanada/places/on/toronto-st-george-s-ward-quartier-on134006-1881/residents/f/r/#p-860217203,/hgiscanada/places/on/toronto-st-george-s-ward-quartier-on134006-1881/residents/f/r/,name_age_birthplace_strict,high
lincs:A77GsjmhAPy,Thomas Spence,1826,1881,http://www.biographi.ca/en/bio/spence_thomas_1881_11E.html,,900603123,spence,thomas,54,Male,Ireland,PLACE_ON144016,ON139005,https://jimclifford.ca/hgiscanada/places/on/vespra-on139005-1881/residents/e/s/#p-900603123,/hgiscanada/places/on/vespra-on139005-1881/residents/e/s/,name_age_only,medium_no_birthplace
lincs:APHJ7eBSEB5,Michael Boomer,1810,1888,http://www.biographi.ca/en/bio/boomer_michael_11E.html,,1092101819,boomer,michael,70,Male,Ireland,PLACE_ON170007,ON170007,https://jimclifford.ca/hgiscanada/places/on/london-ward-quartier-no-7-on170007-1881/residents/g/b/#p-1092101819,/hgiscanada/places/on/london-ward-quartier-no-7-on170007-1881/residents/g/b/,name_age_birthplace_strict,high
lincs:Ab5EPPpAxhB,Julien-Augustin Bédard,1858,1932,http://www.biographi.ca/en/bio/bedard_julien_augustin_16E.html,,671104512,bedard,julien,23,Male,Ontario,PLACE_ON139003,ON103001,https://jimclifford.ca/hgiscanada/places/on/hawkesbury-e-on103001-1881/residents/a/b/#p-671104512,/hgiscanada/places/on/hawkesbury-e-on103001-1881/residents/a/b/,name_age_birthplace_strict,high
lincs:Aw5yFgfuAfe,Charles Henry Wheeler,1838,1917,http://www.biographi.ca/en/bio/wheeler_charles_henry_14E.html,,1000503424,wheeler,charlotte,44,Female,Ontario,PLACE_ON114003,ON155002,https://jimclifford.ca/hgiscanada/places/on/collingwood-on155002-1881/residents/b/w/#p-1000503424,/hgiscanada/places/on/collingwood-on155002-1881/residents/b/w/,name_age_only,medium_no_birthplace
lincs:AzRK4MEuLtz,Mary Ellen Braden,1854,1939,http://www.biographi.ca/en/bio/braden_mary_ellen_16E.html,,160600508,braden,marth,28,Female,Nova Scotia,PLACE_NS008026,NS022005,https://jimclifford.ca/hgiscanada/places/ns/wentworth-ns022005-1881/residents/#p-160600508,/hgiscanada/places/ns/wentworth-ns022005-1881/residents/,name_age_only,medium_no_birthplace
lincs:B2CLXMseBy6,Eugene Lafleur,1856,1930,http://www.biographi.ca/en/bio/lafleur_eugene_15E.html,,600108103,lafleur,eugene,25,Male,Quebec,PLACE_QC182001,QC090009,https://jimclifford.ca/hgiscanada/places/qc/montr-al-st-laurent-ward-quartier-qc090009-1881/residents/i/l-2/#p-600108103,/hgiscanada/places/qc/montr-al-st-laurent-ward-quartier-qc090009-1881/residents/i/l-2/,name_age_only,medium_no_birthplace
lincs:BWjc7GesTN1,Aubrey White,1845,1915,http://www.biographi.ca/en/bio/white_aubrey_14E.html,,822507525,white,aubrey,36,Male,Ireland,PLACE_ON131009,ON131009,https://jimclifford.ca/hgiscanada/places/on/macauly-bracebridge-village-on131009-1881/residents/i/w/#p-822507525,/hgiscanada/places/on/macauly-bracebridge-village-on131009-1881/residents/i/w/,name_age_birthplace_strict,high
lincs:BwI7G8SxRhM,Toussaint Trudeau,1826,1893,http://www.biographi.ca/en/bio/trudeau_toussaint_12E.html,,440500624,trudeau,toupaint,56,Male,Quebec,PLACE_QC046010,QC067003,https://jimclifford.ca/hgiscanada/places/qc/st-lambert-t-v-qc067003-1881/residents/#p-440500624,/hgiscanada/places/qc/st-lambert-t-v-qc067003-1881/residents/,name_age_only,medium_no_birthplace
lincs:CUsjZgyZD5B,George Richard Renfrew,1831,1897,http://www.biographi.ca/en/bio/renfrew_george_richard_12E.html,,500902908,renfrew,george,49,Male,Quebec,PLACE_QC187001,QC079009,https://jimclifford.ca/hgiscanada/places/qc/banlieue-notre-dame-de-qu-bec-qc079009-1881/residents/#p-500902908,/hgiscanada/places/qc/banlieue-notre-dame-de-qu-bec-qc079009-1881/residents/,name_age_only,medium_no_birthplace
lincs:CY2WU87Qh9C,Hugh Miller,1818,1898,http://www.biographi.ca/en/bio/miller_hugh_12E.html,,850405318,miller,hugh,61,Male,Scotland,PLACE_ON134003_1881,ON134003,https://jimclifford.ca/hgiscanada/places/on/toronto-st-thomas-ward-quartier-on134003-1881/residents/c/m-1/#p-850405318,/hgiscanada/places/on/toronto-st-thomas-ward-quartier-on134003-1881/residents/c/m-1/,name_age_only,medium_no_birthplace
lincs:CbEdegRBedT,Henry Georgeson,1835,1927,http://www.biographi.ca/en/bio/georgeson_henry_15E.html,,1242103101,georgeson,henry,47,Male,Scotland,PLACE_BC192003,BC192003,https://jimclifford.ca/hgiscanada/places/bc/cowichin-salt-spring-isl-bc192003-1881/residents/#p-1242103101,/hgiscanada/places/bc/cowichin-salt-spring-isl-bc192003-1881/residents/,name_age_only,medium_no_birthplace
lincs:CieUEPpGDzA,Nelson Burns,1834,1904,http://www.biographi.ca/en/bio/burns_nelson_13E.html,,970500920,burns,nelson,47,Male,Ontario,PLACE_ON117006,ON150009,https://jimclifford.ca/hgiscanada/places/on/georgetown-village-on150009-1881/residents/i/b/#p-970500920,/hgiscanada/places/on/georgetown-village-on150009-1881/residents/i/b/,name_age_only,medium_no_birthplace
lincs:Cq7OEcGxo4U,William Ernest Ditchburn,1862,1932,http://www.biographi.ca/en/bio/ditchburn_william_ernest_16E.html,,850303806,ditchburn,william,18,Male,England,PLACE_ON134003_1881,ON134003,https://jimclifford.ca/hgiscanada/places/on/toronto-st-thomas-ward-quartier-on134003-1881/residents/c/d/#p-850303806,/hgiscanada/places/on/toronto-st-thomas-ward-quartier-on134003-1881/residents/c/d/,name_age_only,medium_no_birthplace
lincs:CvoiADahmal,Philip Cox,1847,1939,http://www.biographi.ca/en/bio/cox_philip_16E.html,,241906703,cox,philip,35,Male,New Brunswick,PLACE_NB029010,NB035002,https://jimclifford.ca/hgiscanada/places/nb/newcastle-nb035002-1881/residents/b/c/#p-241906703,/hgiscanada/places/nb/newcastle-nb035002-1881/residents/b/c/,name_age_only,medium_no_birthplace
lincs:CxbGVz2VQQe,Daniel Francis Burk,1848,1917,http://www.biographi.ca/en/bio/burk_daniel_francis_14E.html,,1191202824,burk,daniel,32,Male,Ontario,PLACE_ON110001,ON181003,https://jimclifford.ca/hgiscanada/places/on/anderdon-on181003-1881/residents/c/b/#p-1191202824,/hgiscanada/places/on/anderdon-on181003-1881/residents/c/b/,name_age_birthplace_strict,high
lincs:DfTNL6WxyVw,Thomas-Edmond d' Odet d'Orsonnens,1818,1892,http://www.biographi.ca/en/bio/odet_d_orsonnens_thomas_edmond_d_12E.html,,570213124,dorsonnens,thomas,62,Male,Quebec,PLACE_QC182002,QC090005,https://jimclifford.ca/hgiscanada/places/qc/montr-al-st-louis-ward-quartier-qc090005-1881/residents/e/d-3/#p-570213124,/hgiscanada/places/qc/montr-al-st-louis-ward-quartier-qc090005-1881/residents/e/d-3/,name_age_only,medium_no_birthplace
lincs:DgVhxtGrhjA,Marie-Elmire Cadotte,1848,1909,http://www.biographi.ca/en/bio/cadotte_marie_elmire_13E.html,,1180403803,cadotte,maria,35,Female,United States,PLACE_ON121003_1851,ON180006,https://jimclifford.ca/hgiscanada/places/on/dover-on180006-1881/residents/f/c/#p-1180403803,/hgiscanada/places/on/dover-on180006-1881/residents/f/c/,name_age_only,medium_no_birthplace
lincs:DinToROAoF2,Francesco Glionna,1825,1918,http://www.biographi.ca/en/bio/glionna_francesco_14E.html,,850613820,glionna,frank,54,Male,Italy,PLACE_ON120005,ON134004,https://jimclifford.ca/hgiscanada/places/on/toronto-st-john-s-ward-quartier-on134004-1881/residents/d/g/#p-850613820,/hgiscanada/places/on/toronto-st-john-s-ward-quartier-on134004-1881/residents/d/g/,name_age_birthplace_strict,high
lincs:DyDPXEv6Hln,Robert Allan Pyne,1853,1931,http://www.biographi.ca/en/bio/pyne_robert_allan_16E.html,,850103309,pyne,robert,27,Male,Ontario,PLACE_ON120002_1881,ON134002,https://jimclifford.ca/hgiscanada/places/on/toronto-st-david-s-ward-quartier-on134002-1881/residents/b/p/#p-850103309,/hgiscanada/places/on/toronto-st-david-s-ward-quartier-on134002-1881/residents/b/p/,name_age_birthplace_strict,high
