person_id,person_name,person_qid,dcb_url,event_type,event_year,place_qid,place_id,place_label,match_strategy,confidence
viaf:104456245,James Loudon,Q6138238,http://www.biographi.ca/en/bio/loudon_james_14E.html,death,1916,Q172,PLACE_ON154011,Toronto,wd,high
viaf:104456297,Alexandre René Chaussegros de Léry,Q4720799,http://www.biographi.ca/en/bio/chaussegros_de_lery_alexandre_rene_10E.html,birth,1818,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104456297,Alexandre René Chaussegros de Léry,Q4720799,http://www.biographi.ca/en/bio/chaussegros_de_lery_alexandre_rene_10E.html,death,1880,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104456459,Robert-Shore-Milnes Bouchette,Q3434371,http://www.biographi.ca/en/bio/bouchette_robert_shore_milnes_10E.html,birth,1805,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104456459,Robert-Shore-Milnes Bouchette,Q3434371,http://www.biographi.ca/en/bio/bouchette_robert_shore_milnes_10E.html,death,1879,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104456820,Calixte Marquis,Q3184204,http://www.biographi.ca/en/bio/marquis_calixte_13E.html,birth,1821,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104457918,Benjamin William Pearse,Q4889102,http://www.biographi.ca/en/bio/pearse_benjamin_william_13E.html,death,1902,Q2132,PLACE_BC217001,Victoria,wd,high
viaf:104458573,F.-X. (François-Xavier) Berlinguet,Q3083693,http://www.biographi.ca/en/bio/berlinguet_francois_xavier_14E.html,birth,1830,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104458573,F.-X. (François-Xavier) Berlinguet,Q3083693,http://www.biographi.ca/en/bio/berlinguet_francois_xavier_14E.html,death,1916,Q44012,PLACE_QC093015,Trois-Rivières,wd,high
viaf:104458587,Thomas Chase-Casgrain,Q303693,http://www.biographi.ca/en/bio/chase_casgrain_thomas_14E.html,death,1916,Q1930,PLACE_ON105011_1921,Ottawa,wd,high
viaf:104458766,Hibbert Binney,Q5750625,http://www.biographi.ca/en/bio/binney_hibbert_11E.html,birth,1819,Q932261,PLACE_NS028026,Sydney,wd,high
viaf:104458905,Charles Langelier,Q2959566,http://www.biographi.ca/en/bio/langelier_charles_14E.html,death,1920,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104459362,Adélard Turgeon,Q634433,http://www.biographi.ca/en/bio/turgeon_adelard_15E.html,death,1930,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104459512,Joseph Obalski,Q16059061,http://www.biographi.ca/en/bio/obalski_joseph_14E.html,death,1915,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104459959,Georges-Isidore Barthe,Q3102926,http://www.biographi.ca/en/bio/barthe_georges_isidore_12E.html,death,1900,Q1930,PLACE_ON105011_1921,Ottawa,wd,high
viaf:104459985,Bartholomew Conrad Augustus Gugy,Q2885934,http://www.biographi.ca/en/bio/gugy_bartholomew_conrad_augustus_10E.html,birth,1796,Q44012,PLACE_QC093015,Trois-Rivières,wd,high
viaf:104460043,Joseph-Godric Blanchet,Q3184285,http://www.biographi.ca/en/bio/blanchet_joseph_godric_11E.html,death,1890,Q139208,PLACE_QC066014,Lévis,wd,high
