presence_id:ID,cd_id,census_year:int,area_sqm:float,num_csds:int,:LABEL
"CD_ON_Perth,_South—Sud_1871","CD_ON_Perth,_South—Sud",1871,913243804.06,7,E93_Presence
"CD_ON_Peterborough,_East—Est_1871","CD_ON_Peterborough,_East—Est",1871,6237494694.5,13,E93_Presence
"CD_ON_Peterborough,_West—Ouest_1871","CD_ON_Peterborough,_West—Ouest",1871,572254442.29,5,E93_Presence
CD_NS_Pictou_1871,CD_NS_Pictou,1871,2975327435.95,23,E93_Presence
CD_QC_Pontiac_Nord_1871,CD_QC_Pontiac_Nord,1871,45263090900.62,16,E93_Presence
CD_QC_Pontiac_Sud_1871,CD_QC_Pontiac_Sud,1871,2861117721.53,13,E93_Presence
CD_QC_Portneuf_1871,CD_QC_Portneuf,1871,3921385521.85,14,E93_Presence
CD_ON_Prescott_1871,CD_ON_Prescott,1871,1289524739.62,8,E93_Presence
CD_PE_Prince_1871,CD_PE_Prince,1871,2123672437.72,25,E93_Presence
CD_ON_Prince_Edward_1871,CD_ON_Prince_Edward,1871,1177762862.99,9,E93_Presence
CD_QC_Quebec_(Comté)_1871,CD_QC_Quebec_(Comté),1871,7097170457.79,12,E93_Presence
CD_QC_Quebec_Centre_1871,CD_QC_Quebec_Centre,1871,3756458.13,5,E93_Presence
CD_QC_Quebec_Est_1871,CD_QC_Quebec_Est,1871,27103755.28,4,E93_Presence
CD_QC_Quebec_Ouest_1871,CD_QC_Quebec_Ouest,1871,2678960.99,4,E93_Presence
CD_NB_Queen's_1871,CD_NB_Queen's,1871,4027513316.5,10,E93_Presence
CD_PE_Queen's_1871,CD_PE_Queen's,1871,2139794822.46,24,E93_Presence
CD_NS_Queens_1871,CD_NS_Queens,1871,1474546142.04,7,E93_Presence
"CD_ON_Renfrew,_North—Nord_1871","CD_ON_Renfrew,_North—Nord",1871,3119495915.07,12,E93_Presence
"CD_ON_Renfrew,_South—Sud_1871","CD_ON_Renfrew,_South—Sud",1871,3409917426.56,11,E93_Presence
CD_NB_Restigouche_1871,CD_NB_Restigouche,1871,8843304894.88,5,E93_Presence
CD_QC_Richelieu_1871,CD_QC_Richelieu,1871,521016811.56,9,E93_Presence
CD_NS_Richmond_1871,CD_NS_Richmond,1871,1407741366.01,13,E93_Presence
CD_QC_Richmond_1871,CD_QC_Richmond,1871,1454415642.48,10,E93_Presence
CD_QC_Rimouski_Est_1871,CD_QC_Rimouski_Est,1871,9266039370.5,10,E93_Presence
CD_QC_Rimouski_Ouest_1871,CD_QC_Rimouski_Ouest,1871,5319841824.62,10,E93_Presence
CD_QC_Rouville_1871,CD_QC_Rouville,1871,621323875.85,12,E93_Presence
CD_ON_Russell_1871,CD_ON_Russell,1871,1901063215.04,7,E93_Presence
CD_QC_Saguenay_1871,CD_QC_Saguenay,1871,39965856006.79,3,E93_Presence
CD_QC_Saint_Maurice_Nord_1871,CD_QC_Saint_Maurice_Nord,1871,33867787457.49,7,E93_Presence
CD_QC_Saint_Maurice_Sud_1871,CD_QC_Saint_Maurice_Sud,1871,866647079.95,8,E93_Presence
CD_QC_Shefford_1871,CD_QC_Shefford,1871,1507194594.07,12,E93_Presence
CD_NS_Shelburne_1871,CD_NS_Shelburne,1871,4198177697.47,9,E93_Presence
CD_QC_Sherbrooke_1871,CD_QC_Sherbrooke,1871,621025105.66,3,E93_Presence
"CD_ON_Simcoe,_North—Nord_1871","CD_ON_Simcoe,_North—Nord",1871,3358929297.86,12,E93_Presence
"CD_ON_Simcoe,_South—Sud_1871","CD_ON_Simcoe,_South—Sud",1871,1685196959.49,7,E93_Presence
