:START_ID,:END_ID,relationship_type,iou:float,from_fraction:float,to_fraction:float,year_from:int,year_to:int,:TYPE
ON027006_1851,ON090003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON028001_1851,ON091001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON028002_1851,ON091003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON028003_1851,ON091002_1861,CONTAINS,0.032,0.032,1.0,1851,1861,P134_continued
ON028004_1851,ON091005_1861,CONTAINS,0.0089,0.0089,1.0,1851,1861,P134_continued
ON028004_1851,ON091006_1861,SAME_AS,0.9911,0.9911,1.0,1851,1861,P134_continued
ON029006_1851,ON092005_1861,SAME_AS,0.9912,0.9912,1.0,1851,1861,P134_continued
ON029009_1851,ON092006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON029011_1851,ON092011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON029010_1851,ON092014_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON029001_1851,ON092012_1861,CONTAINS,0.012,0.012,1.0,1851,1861,P134_continued
ON029003_1851,ON092007_1861,SAME_AS,0.9851,0.9851,1.0,1851,1861,P134_continued
ON029002_1851,ON092008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON029005_1851,ON092009_1861,SAME_AS,0.9883,0.9883,1.0,1851,1861,P134_continued
ON030006_1851,ON093002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON030002_1851,ON093004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON030008_1851,ON093011_1861,SAME_AS,0.9923,0.9923,1.0,1851,1861,P134_continued
ON030008_1851,ON093001_1861,CONTAINS,0.0077,0.0077,1.0,1851,1861,P134_continued
ON030007_1851,ON093006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON030004_1851,ON093013_1861,CONTAINS,0.3839,0.3839,1.0,1851,1861,P134_continued
ON030004_1851,ON093008_1861,CONTAINS,0.6161,0.6161,1.0,1851,1861,P134_continued
ON031005_1851,ON094001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON031001_1851,ON094002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON032001_1851,ON095001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON032002_1851,ON095002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON032003_1851,ON095003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON032004_1851,ON095004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON032006_1851,ON095007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON033004_1851,ON096007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON033006_1851,ON096017_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON033010_1851,ON096019_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON033008_1851,ON096020_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON033013_1851,ON096021_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON033001_1851,ON096001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON033012_1851,ON096009_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON033005_1851,ON096015_1861,CONTAINS,0.0195,0.0195,1.0,1851,1861,P134_continued
