place_id:ID,place_type,:LABEL
QC139001,CSD,E53_Place
ON123126,CSD,E53_Place
AB193012,CSD,E53_Place
ON127011,CSD,E53_Place
ON080001,CSD,E53_Place
QC125002,CSD,E53_Place
SK212018,CSD,E53_Place
PE002005,CSD,E53_Place
PE139018,CSD,E53_Place
NS197014,CSD,E53_Place
ON044029,CSD,E53_Place
QC202011,CSD,E53_Place
ON102074,CSD,E53_Place
SK176005,CSD,E53_Place
ON150006,CSD,E53_Place
ON054069,CSD,E53_Place
SK176020,CSD,E53_Place
NS029015,CSD,E53_Place
QC154023,CSD,E53_Place
NS004022,CSD,E53_Place
NS030003,CSD,E53_Place
NB175008,CSD,E53_Place
ON047005,CSD,E53_Place
SK212008,CSD,E53_Place
QC023004,CSD,E53_Place
ON078008,CSD,E53_Place
ON125001,CSD,E53_Place
SK175027,CSD,E53_Place
QC135010,CSD,E53_Place
ON037003,CSD,E53_Place
QC175013,CSD,E53_Place
SK178047,CSD,E53_Place
MB168005,CSD,E53_Place
SK173020,CSD,E53_Place
ON083001,CSD,E53_Place
QC078027,CSD,E53_Place
NS038031,CSD,E53_Place
ON099107,CSD,E53_Place
QC138005,CSD,E53_Place
ON044036,CSD,E53_Place
QC174015,CSD,E53_Place
ON069006,CSD,E53_Place
ON061010,CSD,E53_Place
ON071012,CSD,E53_Place
NB035004,CSD,E53_Place
ON146006,CSD,E53_Place
NS045035,CSD,E53_Place
NS047026,CSD,E53_Place
ON144022,CSD,E53_Place
NS045011,CSD,E53_Place
AB198008,CSD,E53_Place
QC205020,CSD,E53_Place
NS043003,CSD,E53_Place
NB026002,CSD,E53_Place
NS046001,CSD,E53_Place
NB012010,CSD,E53_Place
MB015007,CSD,E53_Place
ON055015,CSD,E53_Place
QC094035,CSD,E53_Place
AB202008,CSD,E53_Place
ON083005,CSD,E53_Place
ON011013,CSD,E53_Place
NS200013,CSD,E53_Place
ON102013,CSD,E53_Place
ON142009,CSD,E53_Place
ON123096,CSD,E53_Place
QC200010,CSD,E53_Place
NS190012,CSD,E53_Place
NB023007,CSD,E53_Place
BC014011,CSD,E53_Place
ON054062,CSD,E53_Place
ON099114,CSD,E53_Place
NS038011,CSD,E53_Place
ON102004,CSD,E53_Place
PE133003,CSD,E53_Place
MB183005,CSD,E53_Place
NT205041,CSD,E53_Place
QC037001,CSD,E53_Place
ON116005,CSD,E53_Place
QC159020,CSD,E53_Place
NS047005,CSD,E53_Place
NS040013,CSD,E53_Place
NS017011,CSD,E53_Place
QC091019,CSD,E53_Place
QC20N001,CSD,E53_Place
QC167010,CSD,E53_Place
ON008002,CSD,E53_Place
SK171044,CSD,E53_Place
ON021004,CSD,E53_Place
NS045043,CSD,E53_Place
QC076999,CSD,E53_Place
SK207012,CSD,E53_Place
QC148019,CSD,E53_Place
SK211006,CSD,E53_Place
ON114020,CSD,E53_Place
NS203005,CSD,E53_Place
QC083007,CSD,E53_Place
NS016019,CSD,E53_Place
SK208009,CSD,E53_Place
QC168016,CSD,E53_Place
NS205001,CSD,E53_Place
QC098999,CSD,E53_Place
QC156008,CSD,E53_Place
QC028001,CSD,E53_Place
NB020006,CSD,E53_Place
QC026013,CSD,E53_Place
AB204024,CSD,E53_Place
QC053018,CSD,E53_Place
BC005005,CSD,E53_Place
ON049012,CSD,E53_Place
QC071009,CSD,E53_Place
QC015003,CSD,E53_Place
QC193012,CSD,E53_Place
NT206001,CSD,E53_Place
QC193036,CSD,E53_Place
NS194007,CSD,E53_Place
BC014014,CSD,E53_Place
QC184003,CSD,E53_Place
MB022012,CSD,E53_Place
NS049044,CSD,E53_Place
ON148083,CSD,E53_Place
SK176050,CSD,E53_Place
QC040001,CSD,E53_Place
ON127013,CSD,E53_Place
ON080015,CSD,E53_Place
PE141003,CSD,E53_Place
MB168008,CSD,E53_Place
ON054074,CSD,E53_Place
NS048015,CSD,E53_Place
QC199007,CSD,E53_Place
ON148019,CSD,E53_Place
QC102011,CSD,E53_Place
ON102102,CSD,E53_Place
ON182026,CSD,E53_Place
ON023006,CSD,E53_Place
NS042008,CSD,E53_Place
NB022008,CSD,E53_Place
ON098003,CSD,E53_Place
PE002022,CSD,E53_Place
SK185048,CSD,E53_Place
QC164012,CSD,E53_Place
ON093001,CSD,E53_Place
ON135008,CSD,E53_Place
QC054005,CSD,E53_Place
AB193002,CSD,E53_Place
NS007006,CSD,E53_Place
ON084003,CSD,E53_Place
ON135999,CSD,E53_Place
PE002010,CSD,E53_Place
AB006022,CSD,E53_Place
QC086012,CSD,E53_Place
NB024011,CSD,E53_Place
ON039005,CSD,E53_Place
ON023009,CSD,E53_Place
QC119003,CSD,E53_Place
ON123004,CSD,E53_Place
QC187004,CSD,E53_Place
