year_from,year_to,tcpuid_from,tcpuid_to,name_from,name_to,iou,name_similarity,len_diff,cd_name_from,cd_name_to,pr_from
1901,1911,ON113007,ON098014,Muskoka,Muskoka,1.0,77.83,0,"Simcoe, East—Est",Muskoka,ON
1901,1911,ON124001,ON133012,"Drayton, Village",Drayton vl,1.0,77.85,6,"Wellington, Centre",Wellington N,ON
1901,1911,ON064008,ON073003,St. Vincent,StVincent,1.0,78.0,2,"Grey, East—Est",Grey N,ON
1901,1911,ON106006,ON129005,Cardiff,Cardiff,1.0,78.0,0,"Peterborough, East—Est",Victoria,ON
1901,1911,ON106011,ON129013,Glamorgan,Glamorgan,1.0,78.0,0,"Peterborough, East—Est",Victoria,ON
1901,1911,ON106019,ON129025,Monmouth,Monmouth,1.0,78.0,0,"Peterborough, East—Est",Victoria,ON
1901,1911,ON090009,ON097009,"Wardsville, Village",Wardsville vl,1.0,78.05,6,"Middlesex, West—Ouest",Middlesex W-O,ON
1901,1911,ON068008,ON076006,"Oakville, Town—Ville",Oakville t-v,1.0,78.12,8,Halton,Halton,ON
1901,1911,ON103001,ON109006,"Brampton, Town—Ville",Brampton t-v,1.0,78.12,8,Peel,Peel,ON
1901,1911,NS042021,NS053021,"Yarmouth, Town—Ville",Yarmouth t-v,1.0,78.12,8,Yarmouth,Yarmouth,NS
1901,1911,QC142002,QC147013,"Berthier, Town—Ville",Berthier t-v,1.0,78.12,8,Berthier,Berthier,QC
1901,1911,QC158001,QC163014,"Joliette, Town—Ville",Joliette t-v,1.0,78.12,8,Joliette,Joliette,QC
1901,1911,QC186006,QC191012,"St. Ours, Town—Ville",St. Ours t-v,1.0,78.12,8,Richelieu,Richelieu,QC
1901,1911,QC187009,QC192025,"Richmond, Town—Ville",Richmond t-v,1.0,78.12,8,Richmond & Wolfe,Richmond & Wolfe,QC
1901,1911,QC188008,QC193036,"Rimouski, Town—Ville",Rimouski t-v,1.0,78.12,8,Rimouski,Rimouski,QC
1901,1911,QC191004,QC196016,"St. Jean, Town—Ville",St. Jean t-v,1.0,78.12,8,St. Jean & Iberville,St. Jean & Iberville,QC
1901,1911,QC192016,QC197014,"Waterloo, Town—Ville",Waterloo t-v,1.0,78.12,8,Shefford,Shefford,QC
1901,1911,ON129005,ON136003,Scarboro,Scarborough,1.0,78.15,3,"York, East—Est",York Centre,ON
1901,1911,PE133010,PE141006,Township 29,Township 29,1.0,78.18,0,"Prince, East-Est",Queens,PE
1901,1911,PE133011,PE141007,Township 30,Township 30,1.0,78.18,0,"Prince, East-Est",Queens,PE
1901,1911,PE133012,PE141023,Township 67,Township 67,1.0,78.18,0,"Prince, East-Est",Queens,PE
1901,1911,ON088001,ON096008,"Ailsa Craig, Village",Ailsa Craig vl,1.0,78.27,6,"Middlesex, North—Nord",Middlesex N,ON
1901,1911,ON091005,ON108048,"Burks Falls, Village",Burks Falls vl,1.0,78.27,6,Muskoka & Parry Sound,Parry Sound,ON
1901,1911,ON112008,ON118008,"Rockland, Village",Rockland t-v,1.0,78.28,5,Russell,Russell,ON
1901,1911,QC149017,QC154041,"Roberval, Village",Roberval t-v,1.0,78.28,5,Chicoutimi & Saguenay,Chicoutimi & Saguenay,QC
1901,1911,QC163002,QC168013,"Beaurivage, Village",Beaurivage,1.0,78.28,9,Laval,Laval,QC
1901,1911,ON079004,ON088008,"Point Edward, Village",Point Edward vl,1.0,78.33,6,"Lambton, West—Ouest",Lambton W-O,ON
1901,1911,ON106013,ON112010,"Havelock, Village",Havelock vl,1.0,78.33,6,"Peterborough, East—Est",Peterborough E,ON
1901,1911,ON122005,ON131008,"New Hamburg, Village",New Hamburg vl,1.0,78.34,6,"Waterloo, South—Sud",Waterloo S,ON
1901,1911,ON095002,ON101007,"Brighton, Village",Brighton vl,1.0,78.41,6,"Northumberland, East—Est",Northumber Land E,ON
1901,1911,ON095004,ON101008,"Colborne, Village",Colborne vl,1.0,78.41,6,"Northumberland, East—Est",Northumber Land E,ON
1901,1911,ON095006,ON101009,"Hastings, Village",Hastings vl,1.0,78.41,6,"Northumberland, East—Est",Northumber Land E,ON
1901,1911,ON067008,ON075014,"Hagersville, Village",Hagersville vl,1.0,78.42,6,Haldimand & Monok,Haldimand,ON
1901,1911,QC138002,QC143001,St. André,St. André d'Acton,1.0,78.46,8,Bagot,Bagot,QC
1901,1911,ON045002,ON084001,Camden,Camden,1.0,78.57,0,Bothwell,Kent E,ON
1901,1911,ON045003,ON084002,Chatham,Chatham,1.0,78.57,0,Bothwell,Kent E,ON
1901,1911,ON045009,ON084005,Zone,Zone,1.0,78.57,0,Bothwell,Kent E,ON
1901,1911,ON078010,ON087012,"Watford, Village",Watford vl,1.0,78.67,6,"Lambton, East—Est",Lambton East,ON
1901,1911,QC196004,QC201023,"Fraserville, Town—Ville",Fraserville t-v,1.0,78.85,8,Temiscouata,Témiscouata,QC
1901,1911,ON121003,ON130001,Waterloo,"Waterloo, N",1.0,78.95,3,"Waterloo, North—Nord",Waterloo N,ON
