observation_id:ID,:LABEL,variable_name,variable_category,value_numeric:float,value_string,unit,source_table,notes
NB184006_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,66.0,,persons,V1T1,
NB184006_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,653.0,,persons,V1T1,
NB184006_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,542.0,,persons,V1T1,
NB184006_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,1195.0,,persons,V1T1,
NB184007_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,30000.0,,unknown,V1T1,
NB184007_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,89.0,,unknown,V1T1,
NB184007_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,19.0,,unknown,V1T1,
NB184007_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,3.0,,unknown,V1T1,
NB184007_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,89.0,,unknown,V1T1,
NB184007_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,94.0,,persons,V1T1,
NB184007_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,658.0,,persons,V1T1,
NB184007_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,339.0,,persons,V1T1,
NB184007_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,319.0,,persons,V1T1,
NB184007_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,96.0,,persons,V1T1,
NB184007_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,97.0,,persons,V1T1,
NB184007_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,193.0,,persons,V1T1,
NB184007_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,6.0,,persons,V1T1,
NB184007_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,10.0,,persons,V1T1,
NB184007_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,16.0,,persons,V1T1,
NB184007_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,237.0,,persons,V1T1,
NB184007_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,212.0,,persons,V1T1,
NB184007_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,449.0,,persons,V1T1,
NB184008_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,152000.0,,unknown,V1T1,
NB184008_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,264.0,,unknown,V1T1,
NB184008_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,3.0,,unknown,V1T1,
NB184008_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,6.0,,unknown,V1T1,
NB184008_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,264.0,,unknown,V1T1,
NB184008_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,272.0,,persons,V1T1,
NB184008_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,1646.0,,persons,V1T1,
NB184008_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,862.0,,persons,V1T1,
NB184008_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,784.0,,persons,V1T1,
NB184008_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,211.0,,persons,V1T1,
NB184008_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,206.0,,persons,V1T1,
NB184008_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,417.0,,persons,V1T1,
NB184008_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,15.0,,persons,V1T1,
NB184008_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,48.0,,persons,V1T1,
NB184008_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,63.0,,persons,V1T1,
NB184008_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,636.0,,persons,V1T1,
NB184008_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,530.0,,persons,V1T1,
NB184008_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,1166.0,,persons,V1T1,
NB184009_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,33000.0,,unknown,V1T1,
NB184009_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,698.0,,unknown,V1T1,
NB184009_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,37.0,,unknown,V1T1,
NB184009_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,11.0,,unknown,V1T1,
NB184009_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,698.0,,unknown,V1T1,
NB184009_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,729.0,,persons,V1T1,
NB184009_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,4203.0,,persons,V1T1,
NB184009_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,2097.0,,persons,V1T1,
NB184009_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,2106.0,,persons,V1T1,
NB184009_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,552.0,,persons,V1T1,
NB184009_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,558.0,,persons,V1T1,
NB184009_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,1110.0,,persons,V1T1,
NB184009_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,69.0,,persons,V1T1,
