wikidata_qid,wikidata_label,n_chains,place_ids,names,provinces,place_types,verdict
Q112911982,Saint-Casimir,2,PLACE_QC080031;PLACE_QC080012_1921,"St. Casimir, VL;St. Casimir",QC,CSD,CONFLICTING-NAMES
Q3463457,Saint-Ubalde,2,PLACE_QC080035;PLACE_QC080021_1921,"St. Ubalde, VL;St. Ubalde",QC,CSD,CONFLICTING-NAMES
Q112912275,Saint-Hilaire,2,PLACE_QC085016;PLACE_QC085005_1921,"St. Hilaire, VL;St. Hilaire",QC,CSD,CONFLICTING-NAMES
Q112912449,Saint-Joseph-de-la-Rivière-Bleue,2,PLACE_QC095032;PLACE_QC095018,"St. Joseph de la Rivière Bleue, VL;St. Joseph de la Rivière Bleue",QC,CSD,CONFLICTING-NAMES
Q3462419,Saint-Hippolyte,2,PLACE_QC202006;PLACE_QC096001_1921,St. Hypolite;Abercrombie E. (St. Hippolyte),QC,CSD,CONFLICTING-NAMES
Q112912915,Sainte-Anne-de-Beaupré,2,PLACE_QC075014;PLACE_QC075004_1921,"Ste. Anne de Beaupré, VL;Ste. Anne de Beaupré",QC,CSD,CONFLICTING-NAMES
Q5463805,Foam Lake No. 276,2,PLACE_SK180005_1921;PLACE_SK180009_1921,276. Beaver;306. Foam Lake,SK,CSD,CONFLICTING-NAMES
Q2630280,Halifax County,2,CD_NS_Halifax_City;CD_NS_Halifax_County,Halifax City;Halifax County,NS,CD,CONFLICTING-NAMES
Q36312,Calgary,7,PLACE_NT202021;PLACE_NT202019;PLACE_NT202018;PLACE_NT202022;PLACE_NT202020;PLACE_AB001006;PLACE_AB194026,"Calgary, South—Sud;Calgary, East—Est;Calgary, Centre;Calgary, West—Ouest;Calgary, North—Nord;Calgary c;Calgary, C",AB;NT,CSD,variants-match-wikidata
Q136503203,Murray,5,PLACE_ON123005_1851;PLACE_ON099007_1891;PLACE_ON095007_1901;PLACE_ON101003_1911;PLACE_ON132007_1921,Murray;Murray;Murray;Murray;Murray,ON,CSD,name-variants-same-place
Q142271,Pointe-Claire,5,PLACE_QC024003;PLACE_QC092003;PLACE_QC092004_1871;PLACE_QC162017;PLACE_QC076029_1921,"La Pointe Claire;Pointe Claire, Village;Pointe Claire;Pointe Claire t-v;Pointe Claire, T-V",QC,CSD,variants-match-wikidata
Q2135,Winnipeg,5,PLACE_MB183003;PLACE_MB022010;PLACE_MB160013;PLACE_MB024001;CD_MB_Winnipeg_City,"Winnipeg;Winnipeg c pt;Winnipeg, C;Winnipeg c pt;Winnipeg City",MB,CD;CSD,variants-match-wikidata
Q671431,Prince Albert,5,PLACE_NT201003;PLACE_NT205045;PLACE_NT205047;PLACE_NT205046;PLACE_SK185026,"Prince Albert;Prince Albert, East—Est;Prince Albert, West—Ouest;Prince Albert, North—Nord;Prince Albert, C",NT;SK,CSD,variants-match-wikidata
Q368241,Medicine Hat,5,PLACE_NT200002;PLACE_NT204042;PLACE_NT204041;PLACE_NT204040;PLACE_AB189023,"Medicine Hat;Medicine Hat, South—Sud;Medicine Hat, Northwest— Nord-ouest;Medicine Hat, North—Nord;Medicine Hat, C",AB;NT,CSD,variants-match-wikidata
Q2123,Regina,5,PLACE_NT204056;PLACE_NT204055;PLACE_NT204058;PLACE_NT204057;PLACE_SK176022,"Regina, East—Est;Regina, Centre;Regina, West—Ouest;Regina, North—Nord;Regina, C",NT;SK,CSD,variants-match-wikidata
Q133116,Hamilton,5,PLACE_ON077001_1911;PLACE_ON078001;PLACE_ON153009;CD_ON_Hamilton;CD_ON_Hamilton_City,"Hamilton c part;Hamilton c part;Hamilton, C;Hamilton;Hamilton City",ON,CD;CSD,variants-match-wikidata
Q202973,Kingston,5,PLACE_ON111017;CD_ON_Kingston;CD_ON_Kingston_City;CD_ON_Kingston_City_1881;CD_ON_Kingston_City_1881_1901,"Kingston, C;Kingston;Kingston City;Kingston City;Kingston City",ON,CD;CSD,variants-match-wikidata
Q3567557,Westville,4,PLACE_NS039027;PLACE_NS038011_1901;PLACE_NS038037;PLACE_NS016040,"Westville;Drummond Mines (Westville, part);Westville (part);Westville, T-V",NS,CSD,variants-match-wikidata
Q112912881,Sainte-Adèle,4,PLACE_QC197002;PLACE_QC055002_1861;PLACE_QC202002_1911;PLACE_QC096006_1921,Ste. Adèle;Ste. Adèle;Ste. Adèle;Ste. Adèle,QC,CSD,name-variants-same-place
