chain_id,name,province,inherited_qid,inherited_label,phase_a_signals,phase_a_confidence,decision,notes
PLACE_QC157017,St. Laurent,QC,Q3462701,Saint-Laurent-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 256 km from chain centroid
PLACE_QC158004,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC158009,St. Laurent,QC,Q3462701,Saint-Laurent-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 256 km from chain centroid
PLACE_QC160001,St. Anselme,QC,Q112911875,Saint-Anselme,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC160002_1901,"Buckingham, Town—Ville",QC,Q2927470,Buckingham,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC160003_1901,Buckingham,QC,Q63242700,Buckingham,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC160009,Ste. Hélène,QC,Q112913014,Sainte-Hélène,S1_STRICT_YEAR_LINK;S2_STRICT_MULTIHOP,high,VERIFIED,
PLACE_QC162008_1911,St. Laurent,QC,Q3462701,Saint-Laurent-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 257 km from chain centroid
PLACE_QC162011_1911,Beaconsfield t-v,QC,Q142035,Beaconsfield,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC162012,Dorval t-v,QC,Q141963,Dorval,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC162013,Lachine t-v,QC,Q1474128,Lachine,S3_AMBIGUOUS_NAMED,medium,VERIFIED,
PLACE_QC162017,Pointe Claire t-v,QC,Q142271,Pointe-Claire,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC162020_1911,Verdun t-v,QC,Q518076,Verdun,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC162025,Côte St. Luc vl,QC,Q139588,Côte Saint-Luc,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC162027,St. Pierre aux Liens vl,QC,Q112912712,Saint-Pierre-aux-Liens,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC162028,Senneville vl,QC,Q1001672,Senneville,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC163002_1901,St. Ambroise,QC,Q112911857,Saint-Ambroise de la Jeune Lorette,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 190 km from chain centroid
PLACE_QC163003,St. Martin,QC,Q3462931,Saint-Martin,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 244 km from chain centroid
PLACE_QC163010,St. Martin,QC,Q3462931,Saint-Martin,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 244 km from chain centroid
PLACE_QC163014_1911,Joliette t-v,QC,Q141760,Joliette,S3_AMBIGUOUS_NAMED,medium,VERIFIED,
