tcpuid,year,persistent_place_id
ON063003,1901,PLACE_ON113002
ON071002,1911,PLACE_ON113002
ON113002,1921,PLACE_ON113002
ON012004,1851,PLACE_ON113004
ON074006,1861,PLACE_ON113004
ON070005,1871,PLACE_ON113004
ON107005,1881,PLACE_ON113004
ON085005,1891,PLACE_ON113004
ON082005,1901,PLACE_ON113004
ON071004,1911,PLACE_ON113004
ON113004,1921,PLACE_ON113004
ON074004,1861,PLACE_ON113008
ON070006,1871,PLACE_ON113008
ON107006,1881,PLACE_ON113008
ON085003,1891,PLACE_ON113008
ON082003,1901,PLACE_ON113008
ON071008,1911,PLACE_ON113008
ON113008,1921,PLACE_ON113008
ON011001,1851,PLACE_ON114001
ON075001,1861,PLACE_ON114001
ON011003,1851,PLACE_ON114003
ON075003,1861,PLACE_ON114003
ON037004,1871,PLACE_ON114003
ON155002,1881,PLACE_ON114003
ON067001,1891,PLACE_ON114003
ON064001,1901,PLACE_ON114003
ON072002,1911,PLACE_ON114003
ON114003,1921,PLACE_ON114003
ON011006,1851,PLACE_ON114006
ON075006,1861,PLACE_ON114006
ON037003,1871,PLACE_ON114006
ON155003,1881,PLACE_ON114006
ON067003,1891,PLACE_ON114006
ON064003,1901,PLACE_ON114006
ON072003,1911,PLACE_ON114006
ON114006,1921,PLACE_ON114006
ON011008,1851,PLACE_ON114008
ON075008,1861,PLACE_ON114008
ON037002,1871,PLACE_ON114008
ON156003,1881,PLACE_ON114008
ON068002,1891,PLACE_ON114008
ON065002,1901,PLACE_ON114008
ON072004,1911,PLACE_ON114008
ON114008,1921,PLACE_ON114008
ON011011,1851,PLACE_ON114011
ON075012,1861,PLACE_ON114011
ON036008,1871,PLACE_ON114011
ON155004,1881,PLACE_ON114011
ON067006,1891,PLACE_ON114011
ON064006,1901,PLACE_ON114011
ON072005,1911,PLACE_ON114011
ON114011,1921,PLACE_ON114011
ON011012,1851,PLACE_ON114013
ON075017,1861,PLACE_ON114013
ON037008,1871,PLACE_ON114013
ON155009,1881,PLACE_ON114013
ON067008,1891,PLACE_ON114013
ON064008,1901,PLACE_ON114013
ON073003,1911,PLACE_ON114013
ON114013,1921,PLACE_ON114013
ON011005,1851,PLACE_ON114005
ON075005,1861,PLACE_ON114005
ON036002,1871,PLACE_ON114005
ON154005,1881,PLACE_ON114005
ON069004,1891,PLACE_ON114005
ON066005,1901,PLACE_ON114005
ON074002,1911,PLACE_ON114005
ON114005,1921,PLACE_ON114005
ON011007,1851,PLACE_ON114007
ON075007,1861,PLACE_ON114007
ON036006,1871,PLACE_ON114007
ON154004,1881,PLACE_ON114007
ON069005,1891,PLACE_ON114007
ON066006,1901,PLACE_ON114007
ON074003,1911,PLACE_ON114007
ON114007,1921,PLACE_ON114007
ON011010,1851,PLACE_ON114010
ON075011,1861,PLACE_ON114010
ON036001,1871,PLACE_ON114010
ON154003,1881,PLACE_ON114010
ON069007,1891,PLACE_ON114010
ON066008,1901,PLACE_ON114010
ON074004,1911,PLACE_ON114010
ON114010,1921,PLACE_ON114010
ON013004,1851,PLACE_ON115004
ON076004,1861,PLACE_ON115004
ON017009,1871,PLACE_ON115004
ON144008,1881,PLACE_ON115004
ON094003,1891,PLACE_ON115004
ON067006,1901,PLACE_ON115004
ON075004,1911,PLACE_ON115004
ON115004,1921,PLACE_ON115004
ON013006,1851,PLACE_ON115006
ON076007,1861,PLACE_ON115006
ON017006,1871,PLACE_ON115006
ON146006,1881,PLACE_ON115006
ON070005,1891,PLACE_ON115006
ON067010,1901,PLACE_ON115006
ON075006,1911,PLACE_ON115006
ON013007,1851,PLACE_ON115007
ON076008,1861,PLACE_ON115007
ON017002,1871,PLACE_ON115007
ON146002,1881,PLACE_ON115007
ON070006,1891,PLACE_ON115007
ON067011,1901,PLACE_ON115007
ON075007,1911,PLACE_ON115007
ON115007,1921,PLACE_ON115007
ON013010,1851,PLACE_ON115008
ON076009,1861,PLACE_ON115008
ON017007,1871,PLACE_ON115008
ON146007,1881,PLACE_ON115008
ON070007,1891,PLACE_ON115008
ON067012,1901,PLACE_ON115008
ON075008,1911,PLACE_ON115008
ON115008,1921,PLACE_ON115008
ON013009,1851,PLACE_ON115010
ON076010,1861,PLACE_ON115010
ON017001,1871,PLACE_ON115010
ON146001,1881,PLACE_ON115010
ON070008,1891,PLACE_ON115010
ON094008,1901,PLACE_ON115010
ON075010,1911,PLACE_ON115010
ON115010,1921,PLACE_ON115010
ON014003,1851,PLACE_ON117002
ON077004,1861,PLACE_ON117002
ON038005,1871,PLACE_ON117002
ON150006,1881,PLACE_ON117002
ON071006,1891,PLACE_ON117002
ON068006,1901,PLACE_ON117002
ON076002,1911,PLACE_ON117002
ON117002,1921,PLACE_ON117002
ON014004,1851,PLACE_ON117003
ON077005,1861,PLACE_ON117003
ON038001,1871,PLACE_ON117003
ON150001,1881,PLACE_ON117003
ON071007,1891,PLACE_ON117003
ON068007,1901,PLACE_ON117003
ON076003,1911,PLACE_ON117003
ON117003,1921,PLACE_ON117003
ON014002,1851,PLACE_ON117004
ON077006,1861,PLACE_ON117008_1891
ON038003,1871,PLACE_ON117008_1891
ON150004,1881,PLACE_ON117008_1891
ON077003,1861,PLACE_ON117007
ON038004,1871,PLACE_ON117007
ON150005,1881,PLACE_ON117007
ON071005,1891,PLACE_ON117007
ON068005,1901,PLACE_ON117007
ON076005,1911,PLACE_ON117007
ON117007,1921,PLACE_ON117007
ON015003,1851,PLACE_ON015003
ON078006,1861,PLACE_ON118012
ON062005,1871,PLACE_ON118012
ON122005,1881,PLACE_ON118012
ON074008,1891,PLACE_ON118012
ON071008,1901,PLACE_ON118012
ON079008,1911,PLACE_ON118012
ON118012,1921,PLACE_ON118012
ON015002,1851,PLACE_ON118010
ON078005,1861,PLACE_ON118010
ON062003,1871,PLACE_ON118010
ON122001,1881,PLACE_ON118010
