lineage_type,:START_ID,:END_ID,change_year:int,:TYPE
BRIDGE_NAME_MATCH,PLACE_ON075004,PLACE_ON139005,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON059005,PLACE_ON140008,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON033011,PLACE_ON142008_1871,1871,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON035007,PLACE_ON144014,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON113014,PLACE_ON144014,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON038002,PLACE_ON123003_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON162004,PLACE_ON123003_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON130005,PLACE_ON150010,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON161003,PLACE_ON131002_1901,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON124007_1891,PLACE_ON131002_1901,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON162005,PLACE_ON150007,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON148003,PLACE_ON153006,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON142001_1851,PLACE_ON151003_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON121008,PLACE_ON144019,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON099001,PLACE_ON145005_1901,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON047001_1861,PLACE_ON134001,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON105011,PLACE_ON138001_1911,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON045002,PLACE_ON135004,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON131001_1851,PLACE_ON136001_1911,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON043001_1851,PLACE_ON154005,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON132008_1881,PLACE_ON154005,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON056003,PLACE_ON126001_1881,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON054002,PLACE_ON132012,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON124004_1881,PLACE_ON132012,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON083002,PLACE_ON124011,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON082009,PLACE_ON123009_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON018009,PLACE_ON122009_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON178006,PLACE_ON122009_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON013008,PLACE_ON115009,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON035002,PLACE_ON144012,1871,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON138003,PLACE_ON144026,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON105005_1861,PLACE_ON154018,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON137007,PLACE_ON154018,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON046003,PLACE_ON134008,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON033002,PLACE_ON142005_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON084003,PLACE_ON101002,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON072010,PLACE_ON111012,1911,BRIDGE_NAME_MATCH
