old_place_id,new_place_id,province,old_canonical_name,new_canonical_name,old_years_active,new_years_active,confidence,reason
PLACE_QC149030,PLACE_QC086003,QC,Escoumains,Escoumains,1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC097011,PLACE_QC052004_1881,QC,St. Canut,St. Canut,1861;1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_QC017006,PLACE_QC053004_1921,QC,Ste. Claire,Ste. Claire,1861,1921,high,bridge_name_match
PLACE_QC160002,PLACE_QC053004_1921,QC,Ste. Claire,Ste. Claire,1871,1921,high,bridge_name_match
PLACE_QC157005_1881,PLACE_QC053004_1921,QC,Ste. Claire,Ste. Claire,1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC157006,PLACE_QC053006_1921,QC,St. Edouard de Frampton,St. Edouard de Frampton,1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC159003,PLACE_QC053008,QC,Ste. Hénédine,Ste. Hénédine,1861;1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_QC137001,PLACE_QC052028,QC,Ste. Clothilde,Ste. Clothilde,1871,1881,high,bridge_name_match
PLACE_QC052032,PLACE_QC038012,QC,St. Louis de Blandford,St. Louis de Blandford,1871;1881,1911;1921,high,bridge_name_match
PLACE_QC153023,PLACE_QC038012,QC,St. Louis de Blandford,St. Louis de Blandford,1891,1911;1921,high,bridge_name_match
PLACE_QC153030,PLACE_QC038012,QC,St. Louis de Blandford,St. Louis de Blandford,1901,1911;1921,high,bridge_name_match
PLACE_QC052023,PLACE_QC038001_1911,QC,Chénier,Chénier,1871;1881,1911;1921,high,bridge_name_match
PLACE_QC153018,PLACE_QC038001_1911,QC,Chénier,Chénier,1891;1901,1911;1921,high,bridge_name_match
PLACE_QC159006,PLACE_QC056015,QC,Etang du Nord,Etang du Nord,1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC154013,PLACE_QC056019,QC,Havre aux Maisons,Hâvre aux Maisons,1871;1881;1891,1911;1921,high,bridge_name_match
PLACE_QC154026,PLACE_QC056019,QC,Havre aux Maisons,Hâvre aux Maisons,1901,1911;1921,high,bridge_name_match
PLACE_QC107002,PLACE_QC162024,QC,Côte des Neiges,"Côte des Neiges, Village",1871,1891;1901;1911,high,bridge_name_match
PLACE_QC091013_1881,PLACE_QC162024,QC,"Côte des Neiges, Village","Côte des Neiges, Village",1881,1891;1901;1911,high,bridge_name_match
PLACE_QC159009,PLACE_QC060010_1901,QC,St. Félix de Valois,St. Félix de Valois,1871;1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC094007,PLACE_QC062053,QC,Villeneuve,Villeneuve,1871,1901;1911;1921,medium,bridge_name_match
PLACE_QC093019,PLACE_QC057003,QC,Baskatong,Baskatong,1871,1911;1921,medium,bridge_name_match
PLACE_QC095005,PLACE_QC062037,QC,Notre Dame de Bonsecours,Notre Dame de Bonsecours,1871,1921,high,bridge_name_match
PLACE_QC160026,PLACE_QC062037,QC,Notre-Dame de Bonsecours,Notre Dame de Bonsecours,1881;1891;1901,1921,high,bridge_name_match
PLACE_QC165030,PLACE_QC062037,QC,Notre-Dame de Bonsecours,Notre Dame de Bonsecours,1911,1921,high,bridge_name_match
PLACE_QC098003_1871,PLACE_QC076049,QC,"Ste. Rose, Village","Ste. Rose, Village",1871,1881;1891;1901;1911;1921,high,bridge_name_match
