var_code,label,category,unit,source_tables,year_count,comparable_across_years,presence_count,quality
VAR_ETH_NFC_N,Number of persons who are not French Canadian,ETH,persons,1891:V1T3,1,false,2366,signal
VAR_ETH_XA_N,"Number of persons native to Canada, not of French origin",ETH,persons,"1851:V1T1,1861:V1T1",2,true,1846,signal
VAR_ETH_XI_N,Number of Indigenous persons,ETH,persons,"1851:V1T1,1861:V1T1",2,true,144,signal
VAR_ETH_XN_N,Number of negroes or coloured persons,ETH,persons,"1851:V1T1,1861:V1T1",2,true,228,signal
VAR_EUR_AUSTRIAN,Number of persons of Austrian origin,ETH,persons,1921:V1T27,1,false,1573,signal
VAR_EUR_BELGIAN,Number of persons of Belgian origin,ETH,persons,1921:V1T27,1,false,1142,signal
VAR_EUR_DUTCH,Number of persons of Dutch origin,ETH,persons,1921:V1T27,1,false,2451,signal
VAR_EUR_FINNISH,Number of persons of Finnish origin,ETH,persons,1921:V1T27,1,false,613,signal
VAR_EUR_FRENCH,Number of persons of French origin,ETH,persons,1921:V1T27,1,false,4434,signal
VAR_EUR_GERMAN,Number of persons of German origin,ETH,persons,1921:V1T27,1,false,3112,signal
VAR_EUR_GREEK,Number of persons of Greek origin,ETH,persons,1921:V1T27,1,false,338,signal
VAR_EUR_HEBREW,"Persons recorded under the 1921 official census category ""Hebrew"" (origin/ethnicity); now described as Jewish origin.",ETH,persons,1921:V1T27,1,false,1100,signal
VAR_EUR_ITALIAN,Number of persons of Italian origin,ETH,persons,1921:V1T27,1,false,1159,signal
VAR_EUR_OTHER,Number of persons of other European origin,ETH,persons,1921:V1T27,1,false,1915,signal
VAR_EUR_POLISH,Number of persons of Polish origin,ETH,persons,1921:V1T27,1,false,1389,signal
VAR_EUR_RUSSIAN,Number of persons of Russian origin,ETH,persons,1921:V1T27,1,false,1610,signal
VAR_EUR_SCANDINAVIAN,Number of persons of Scandinavian origin,ETH,persons,1921:V1T27,1,false,2480,signal
VAR_EUR_UKRAINIAN,Number of persons of Ukrainian origin,ETH,persons,1921:V1T27,1,false,930,signal
VAR_EVANGELICAL_ASSOCIATION,Number of members of the Evangelical Association,REL,persons,1921:V1T38,1,false,467,signal
VAR_FAMILIES,Number of families,POP,persons,1911:V1T2,1,false,3382,signal
VAR_FISH_BLM_N,Number of cooper's shops,FSH,count,1871:V1T1,1,false,19,sparse
VAR_FISH_BL_N,Number of fishing barrels produced in the past year,FSH,count,1871:V1T1,1,false,22,sparse
VAR_FISH_BM_N,Number of men on fishing boats,FSH,persons,1881:V3T27,1,false,376,signal
VAR_FISH_BX_N,Number of fishing boats,FSH,count,"1871:V1T1,1881:V3T27",2,true,433,signal
VAR_FISH_CH_Q,Quintals of codfish or hake produced in the past year,FSH,quintals,1871:V1T1,1,false,52,sparse
VAR_FISH_CX_Q,Quintals of cod produced in the past year,FSH,quintals,1881:V3T27,1,false,341,signal
VAR_FISH_EE_BL,Barrels of eels produced in the past year,FSH,barrels,1881:V3T27,1,false,180,signal
VAR_FISH_EX_N,Number of men employed in fishing,FSH,persons,1871:V1T1,1,false,44,sparse
VAR_FISH_FX_Q,Quintals of fascines fish produced in the past year,FSH,quintals,1881:V3T27,1,false,131,signal
VAR_FISH_GX_BL,Barrels of gaspareaux produced in the past year,FSH,barrels,1881:V3T27,1,false,204,signal
VAR_FISH_HA_BL,Barrels of herring or alewives produced in the past year,FSH,barrels,"1871:V1T1,1881:V3T27",2,true,407,signal
VAR_FISH_HP_Q,"Quintals of haddock, hake, or pollock produced in the past year",FSH,quintals,1881:V3T27,1,false,232,signal
VAR_FISH_HS_LB,Pounds of hake sounds cured in the past year,FSH,pounds,1871:V1T1,1,false,14,sparse
VAR_FISH_HX_BL,Barrels of halibut produced in the past year,FSH,barrels,1881:V3T27,1,false,128,signal
VAR_FISH_LX_LB,Pounds of lobster canned in the past year,FSH,pounds,1881:V3T27,1,false,97,sparse
VAR_FISH_MX_BL,Barrels of mackerel produced in the past year,FSH,barrels,"1871:V1T1,1881:V3T27",2,true,370,signal
VAR_FISH_NX_F,Fathoms of fishing nets,FSH,fathoms,1881:V3T27,1,false,393,signal
VAR_FISH_OTH_BL,Barrels of other fish produced in the past year,FSH,barrels,1881:V3T27,1,false,205,signal
VAR_FISH_OX_G,Gallons of fish oil produced in the past year,FSH,gallons,"1871:V1T1,1881:V3T27",2,true,353,signal
VAR_FISH_OY_BL,Barrels of oysters produced in the past year,FSH,barrels,1881:V3T27,1,false,62,sparse
VAR_FISH_PC_BL,Barrels of cured fish produced in the past year,FSH,barrels,1851:V2T6,1,false,171,signal
VAR_FISH_PD_Q,Quintals of dried fish sold in the past year,FSH,quintals,1861:V2T11,1,false,73,sparse
VAR_FISH_PF_LB,Pounds of fresh fish sold in the past year,FSH,pounds,1861:V2T11,1,false,100,signal
VAR_FISH_PS_BL,Barrels of salted fish sold in the past year,FSH,barrels,1861:V2T11,1,false,192,signal
VAR_FISH_SH_BL,Barrels of shad produced in the past year,FSH,barrels,1881:V3T27,1,false,78,sparse
VAR_FISH_SL_LB,Pounds of preserved shell and other fish produced during the past year,FSH,pounds,1871:V1T1,1,false,4,sparse
VAR_FISH_SM_N,Number of shoremen,FSH,count,1881:V3T27,1,false,167,signal
VAR_FISH_SN_BL,Barrels of sardines produced in the past year,FSH,barrels,1881:V3T27,1,false,68,sparse
VAR_FISH_SX_BL,Barrels of salmon produced in the past year,FSH,barrels,1881:V3T27,1,false,191,signal
VAR_FISH_SX_V,Value of salmon produced in the past year,FSH,dollars,1871:V1T1,1,false,6,sparse
VAR_FISH_TX_BL,Barrels of trout produced in the past year,FSH,barrels,1881:V3T27,1,false,163,signal
VAR_FISH_VM_N,Number of men on fishing vessels,FSH,persons,1881:V3T27,1,false,166,signal
VAR_FISH_VX_N,Number of fishing vessels,FSH,count,1881:V3T27,1,false,166,signal
VAR_FISH_WX_BL,Barrels of whitefish produced in the past year,FSH,barrels,1881:V3T27,1,false,26,sparse
VAR_FISH_XE_N,Number of fishing establishments,FSH,count,1871:V1T1,1,false,33,sparse
VAR_FLH_XX_LB,Pounds of flax or hemp produced in the past year,AGR,pounds,"1851:V2T6,1861:V2T11",2,true,1243,signal
VAR_FLX_MX_N,Number of flax manufactories,MFG,establishments,1871:V1T1,1,false,6,sparse
VAR_FLX_XX_LB,Pounds of flax produced in the past year,AGR,pounds,1871:V1T1,1,false,62,sparse
VAR_FML_XI_A,Acres of improved land in farms,AGR,acres,1891:V2T16,1,false,2460,signal
VAR_FML_XX_A,Acres of land in farms,AGR,acres,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,4287,signal
VAR_FOREIGN_BORN_F,Number of females born outside the British Empire,POP,persons,1921:V1T16,1,false,4472,signal
VAR_FOREIGN_BORN_M,Number of males born outside the British Empire,POP,persons,1921:V1T16,1,false,4666,signal
VAR_FOWL_CX_N,Number of chickens,AGR,count,1891:V4T3,1,false,2465,signal
VAR_FOWL_DX_N,Number of ducks,AGR,count,1891:V4T3,1,false,2282,signal
VAR_FOWL_GX_N,Number of geese,AGR,count,1891:V4T3,1,false,2289,signal
VAR_FOWL_OTH_N,Number of other fowl,AGR,count,1891:V4T3,1,false,1821,signal
VAR_FOWL_TX_N,Number of turkeys,AGR,count,1891:V4T3,1,false,2077,signal
VAR_FRENCH,Number of persons of French origin,ETH,persons,1911:V2T7,1,false,2581,signal
VAR_FRIENDS,Number of Friends (Quakers),REL,persons,1911:V2T2,1,false,245,signal
VAR_FRMLU_ARA_A,Acres of farmland in arable land,AGR,acres,1871:V1T1,1,false,71,sparse
VAR_FRMLU_CLT_A,Acres of farmland under cultivation,AGR,acres,"1851:V2T6,1861:V2T11",2,true,1826,signal
VAR_FRMLU_CRP_A,Acres of farmland under crops,AGR,acres,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,4274,signal
VAR_FRMLU_GO_A,Acres of farmland in gardens or orchards,AGR,acres,"1851:V2T6,1891:V2T16",2,true,3030,signal
VAR_FRMLU_GX_A,Acres of farmland in gardens,AGR,acres,1861:V2T11,1,false,880,signal
VAR_FRMLU_PST_A,Acres of farmland in pasture,AGR,acres,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,4248,signal
VAR_FRMLU_WOD_A,Acres of farmland in woodland or forest,AGR,acres,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,4225,signal
VAR_FRMSZ_0to10_N,Number of persons living on farms under 10 acres,AGR,persons,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,3848,signal
VAR_FRMSZ_100to200_N,Number of persons living on farms between 100 and 200 acres,AGR,persons,"1851:V2T6,1861:V2T11",2,true,1766,signal
VAR_FRMSZ_101to200_N,Number of persons living on farms between 101 and 200 acres,AGR,persons,1891:V2T16,1,false,2352,signal
VAR_FRMSZ_10to20_N,Number of persons living on farms between 10 and 20 acres,AGR,persons,"1851:V2T6,1861:V2T11",2,true,1356,signal
VAR_FRMSZ_11to50_N,Number of persons living on farms between 11 and 50 acres,AGR,persons,1891:V2T16,1,false,2356,signal
VAR_FRMSZ_20to50_N,Number of persons living on farms between 20 and 50 acres,AGR,persons,"1851:V2T6,1861:V2T11",2,true,1706,signal
VAR_FRMSZ_50to100_N,Number of persons living on farms between 50 and 100 acres,AGR,persons,"1851:V2T6,1861:V2T11",2,true,1783,signal
VAR_FRMSZ_51to100_N,Number of persons living on farms between 51 and 100 acres,AGR,persons,1891:V2T16,1,false,2360,signal
VAR_FRMSZ_ov200_N,Number of persons living on farms over 200 acres,AGR,persons,"1851:V2T6,1861:V2T11",2,true,1595,signal
VAR_FRMSZ_ov201_N,Number of persons living on farms over 200 acres,AGR,persons,1891:V2T16,1,false,2234,signal
VAR_FRMTN_EX_N,Number of employees on farms,AGR,persons,1891:V2T16,1,false,894,signal
VAR_FRMTN_OX_A,Acres of farmland owned,AGR,acres,1871:V1T1,1,false,71,sparse
VAR_FRMTN_OX_N,Number of farm occupants who own their land,AGR,count,1891:V2T16,1,false,2458,signal
VAR_FRMTN_RX_A,Acres of farmland rented,AGR,acres,1871:V1T1,1,false,66,sparse
VAR_FRMTN_SX_A,Acres of farmland neither owned nor rented,AGR,acres,1871:V1T1,1,false,32,sparse
VAR_FRMTN_TX_N,Number of farm occupants who rent their land,AGR,count,1891:V2T16,1,false,2301,signal
VAR_FRMTN_VX_A,Acres of farmland held by verbal agreement,AGR,acres,1871:V1T1,1,false,45,sparse
VAR_FRMTN_XA_A,Acres of farmland held by townspeople who are not farmers,AGR,acres,1861:V2T11,1,false,764,signal
VAR_FRM_Q1_N,Number of persons holding farmland of first quality,AGR,persons,1871:V1T1,1,false,70,sparse
VAR_FRM_Q2_N,Number of persons holding farmland of second quality,AGR,persons,1871:V1T1,1,false,69,sparse
VAR_FRM_Q3_N,Number of persons holding farmland of third quality,AGR,persons,1871:V1T1,1,false,64,sparse
VAR_FRM_XX_N,Number of occupants of farms,AGR,count,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,4284,signal
VAR_FRM_XX_V,Value of farms (dollars),AGR,dollars,1861:V2T11,1,false,1017,signal
VAR_FRT_LK_N,Number of lime kilns,MFG,establishments,1871:V1T1,1,false,38,sparse
VAR_FRT_LP_BL,Barrels of lime produced in the past year,MFG,barrels,1871:V1T1,1,false,28,sparse
VAR_FRT_LX_A,Acres of farmland fertilized with lime,AGR,acres,1871:V1T1,1,false,42,sparse
VAR_FRT_SX_A,Acres of farmland fertilized with shell manure,AGR,acres,1871:V1T1,1,false,61,sparse
VAR_FRU_AO_V,Value of apples and other fruits produced in the past year,AGR,dollars,1871:V1T1,1,false,60,sparse
VAR_FRU_PC_G,Gallons of cider produced in the past year,AGR,gallons,"1851:V2T6,1861:V2T11",2,true,477,signal
VAR_FRU_PX_V,Value of garden and orchard crops produced in the past year,AGR,dollars,1861:V2T11,1,false,814,signal
VAR_F_DIVORCED,Number of divorced females,POP,persons,1911:V1T2,1,false,274,signal
VAR_F_LEGAL_SEP,Number of legally separated females,POP,persons,1911:V1T2,1,false,513,signal
VAR_F_MARRIED,Number of married females,POP,persons,1911:V1T2,1,false,3352,signal
VAR_F_NOT_GIVEN,Number of females with marital status not given,POP,persons,1911:V1T2,1,false,954,signal
VAR_F_SINGLE,Number of single (never-married) females,POP,persons,1911:V1T2,1,false,3342,signal
VAR_F_WIDOWED,Number of widowed females,POP,persons,1911:V1T2,1,false,3130,signal
VAR_GERMAN,Number of persons of German origin,ETH,persons,1911:V2T7,1,false,1802,signal
VAR_GRA_TX_B,Bushels of timothy grass seed produced in the past year,AGR,bushels,1871:V1T1,1,false,70,sparse
VAR_GRA_XS_B,"Bushels of clover, timothy, or other grass seed produced in the past year",AGR,bushels,"1851:V2T6,1861:V2T11,1881:V3T24,1891:V4T2",4,true,4534,signal
VAR_GREEK,Number of persons of Greek origin,ETH,persons,1911:V2T7,1,false,184,signal
VAR_GREEK_CHURCH,Number of Greek (Orthodox) Church adherents,REL,persons,"1911:V2T2,1921:V1T38",2,true,1692,signal
VAR_GRIST_EX_N,Number of employees in grist mills,MFG,persons,1851:V2T7,1,false,658,signal
VAR_GRIST_NR_N,Number of grist mills not reporting,MFG,establishments,1851:V2T7,1,false,595,signal
VAR_GRIST_PD_BL,Barrels of flour produced per day by grist mills reporting daily production,MFG,barrels,1851:V2T7,1,false,305,signal
VAR_GRIST_PD_N,Number of grist mills reporting daily production,MFG,establishments,1851:V2T7,1,false,292,signal
VAR_GRIST_PL_N,Number of grist mills reporting value of annual production or rent,MFG,establishments,1851:V2T7,1,false,495,signal
VAR_GRIST_PL_V,Value of annual production or rent from grist mills (pounds sterling),MFG,dollars,1851:V2T7,1,false,509,signal
VAR_GRIST_PW_BL,Barrels of flour produced per week by grist mills reporting weekly production,MFG,barrels,1851:V2T7,1,false,296,signal
VAR_GRIST_PW_N,Number of grist mills reporting weekly production ,MFG,establishments,1851:V2T7,1,false,296,signal
VAR_GRIST_PY_BL,Barrels of flour produced per year by grist mills reporting annual production,MFG,barrels,1851:V2T7,1,false,587,signal
VAR_GRIST_PY_N,Number of grist mills reporting annual production,MFG,establishments,1851:V2T7,1,false,588,signal
VAR_GRIST_SX_N,Number of grist mills powered by steam,MFG,establishments,1851:V2T7,1,false,502,signal
VAR_GRIST_WX_N,Number of grist mills powered by water,MFG,establishments,1851:V2T7,1,false,732,signal
VAR_GRIST_XC_N,Number of grist mills returning capital,MFG,establishments,1851:V2T7,1,false,661,signal
VAR_GRIST_XC_V,Value of capital returned by grist mills (pounds sterling),MFG,dollars,1851:V2T7,1,false,667,signal
VAR_GRIST_XX_N,Number of grist mills,MFG,establishments,"1851:V2T7,1871:V1T1",2,true,801,signal
VAR_HAY_XX_A,Acres of hay crops,AGR,acres,"1881:V3T24,1891:V4T2",2,true,4422,signal
VAR_HAY_XX_T,Tons of hay produced in the past year,AGR,tons,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,6390,signal
VAR_HINDU,"Persons recorded under the 1911 official census category ""Hindu""; in 1911 this label denoted South Asian origin (not religious identification). Reflects period British-colonial conflation of religion and ethnicity; modern usage of ""Hindu"" is religious.",ETH,persons,1911:V2T7,1,false,42,sparse
VAR_HOP_XX_LB,Pounds of hops produced in the past year,AGR,pounds,"1851:V2T6,1861:V2T11",2,true,784,signal
VAR_HOUSE_01R_N,Number of houses of 1 room,BLD,buildings,1891:V1T2,1,false,1605,signal
VAR_HOUSE_01S_N,Number of houses of 1 story,BLD,buildings,1891:V1T2,1,false,2463,signal
VAR_HOUSE_02R_N,Number of houses of 2 rooms,BLD,buildings,1891:V1T2,1,false,2378,signal
VAR_HOUSE_02S_N,Number of houses of 2 stories,BLD,buildings,1891:V1T2,1,false,2332,signal
VAR_HOUSE_03R_N,Number of houses of 3 rooms,BLD,buildings,1891:V1T2,1,false,2423,signal
VAR_HOUSE_03S_N,Number of houses of 3 stories,BLD,buildings,1891:V1T2,1,false,1063,signal
VAR_HOUSE_04R_N,Number of houses of 4 rooms,BLD,buildings,1891:V1T2,1,false,2448,signal
VAR_HOUSE_05R_N,Number of houses of 5 rooms,BLD,buildings,1891:V1T2,1,false,2431,signal
VAR_HOUSE_06to10R_N,Number of houses of 6 to 10 rooms,BLD,buildings,1891:V1T2,1,false,2441,signal
VAR_HOUSE_11to15R_N,Number of houses of 11 to 15 rooms,BLD,buildings,1891:V1T2,1,false,2155,signal
VAR_HOUSE_BX_N,Number of houses built of brick,BLD,buildings,1891:V1T2,1,false,1331,signal
VAR_HOUSE_SX_N,Number of houses built of stone,BLD,buildings,1891:V1T2,1,false,1123,signal
VAR_HOUSE_TS_N,Number of dwellings that are temporary shanties,BLD,buildings,"1871:V1T1,1881:V1T1",2,true,912,signal
VAR_HOUSE_TV_N,Number of dwellings that are temporary vessels,BLD,buildings,"1871:V1T1,1881:V1T1",2,true,108,signal
VAR_HOUSE_TX_N,Number of dwellings that are vessels and shanties,BLD,buildings,1891:V1T2,1,false,890,signal
VAR_HOUSE_WX_N,Number of houses built of wood,BLD,buildings,1891:V1T2,1,false,2467,signal
VAR_HOUSE_XC_N,Number of houses under construction,BLD,buildings,"1871:V1T1,1881:V1T1,1891:V1T2",3,true,4959,signal
VAR_HOUSE_XI_N,Number of inhabited houses,BLD,buildings,"1871:V1T1,1881:V1T1",2,true,3836,signal
VAR_HOUSE_XO_N,Number of occupied houses,BLD,buildings,"1871:V1T1,1881:V1T1,1891:V1T2",3,true,6310,signal
VAR_HOUSE_XU_N,Number of uninhabited houses,BLD,buildings,"1871:V1T1,1881:V1T1,1891:V1T2",3,true,5805,signal
VAR_HOUSE_XX_N,Number of houses,BLD,buildings,"1891:V1T2,1901:V1T7",2,true,5652,signal
VAR_HOUSE_ov04S_N,Number of houses of more than 3 stories,BLD,buildings,1891:V1T2,1,false,307,signal
VAR_HOUSE_ov16R_N,Number of houses of over 15 rooms,BLD,buildings,1891:V1T2,1,false,1514,signal
VAR_HRS_0to03_N,Number of horses aged 3 years and under,AGR,head,"1861:V2T11,1891:V4T3",2,true,3386,signal
VAR_HRS_XX_N,Number of horses,AGR,head,"1851:V2T6,1871:V1T1",2,true,872,signal
VAR_HRS_ov03_N,Number of horses aged over 3 years,AGR,head,"1861:V2T11,1891:V4T3",2,true,3528,signal
VAR_HRS_ov03_V,Value of horses aged over 3 years,AGR,dollars,1861:V2T11,1,false,964,signal
VAR_INDIAN,"Persons recorded under the official census category ""Indian""; corresponds to what is now described as Indigenous (First Nations; in northern enumerations also Inuit) origin. ""Indian"" was simultaneously a census category and the legal/administrative term under the Indian Act (1876).",ETH,persons,"1911:V2T7,1921:V1T27",2,true,1436,signal
VAR_IRON_EX_N,Number of employees in foundries,MFG,persons,1851:V2T7,1,false,243,signal
VAR_IRON_NR_N,Number of foundries not reporting,MFG,establishments,1851:V2T7,1,false,164,signal
VAR_IRON_PX_V,Value of iron produced in foundries in the past year (pounds sterling),MFG,dollars,1851:V2T7,1,false,279,signal
VAR_IRON_XC_N,Number of foundries returning capital,MFG,establishments,1851:V2T7,1,false,326,signal
VAR_IRON_XR_N,Number of foundries reporting,MFG,establishments,1851:V2T7,1,false,310,signal
VAR_IRON_XX_N,Number of foundries,MFG,establishments,1851:V2T7,1,false,353,signal
VAR_ITALIAN,Number of persons of Italian origin,ETH,persons,1911:V2T7,1,false,640,signal
VAR_JAPANESE,Number of persons of Japanese origin,ETH,persons,1911:V2T7,1,false,66,sparse
VAR_JEWISH,"Persons recorded under the 1911 official census category ""Jewish"" (origin/ethnicity, distinct from the V2T2 religion category ""Jews"").",ETH,persons,1911:V2T7,1,false,553,signal
VAR_JEWS,Number of Jews,REL,persons,"1911:V2T2,1921:V1T38",2,true,1589,signal
VAR_LEG_CS_B,Bushels of clover seed produced in the past year,AGR,bushels,1871:V1T1,1,false,55,sparse
VAR_LEG_VX_B,Bushels of vetches produced in the past year,AGR,bushels,1871:V1T1,1,false,11,sparse
VAR_LUTHERANS,Number of Lutherans,REL,persons,"1911:V2T2,1921:V1T38",2,true,3411,signal
VAR_MACH_FI_V,Value of farm implements in dollars,AGR,dollars,1861:V2T11,1,false,1007,signal
VAR_MACH_FX_N,Number of farming mills,AGR,count,1871:V1T1,1,false,67,sparse
VAR_MACH_HB_N,Number of hay-making machines,AGR,count,1871:V1T1,1,false,53,sparse
VAR_MACH_HE_N,Number of hay elevators,AGR,count,1871:V1T1,1,false,30,sparse
VAR_MACH_HM_N,Number of hay mowing machines,AGR,count,1871:V1T1,1,false,68,sparse
VAR_MACH_MD_N,Number of mud-digging machines,AGR,count,1871:V1T1,1,false,64,sparse
VAR_MACH_OTH_N,Number of other machines,AGR,count,1871:V1T1,1,false,48,sparse
VAR_MACH_PX_N,"Number of pianos, melodeons, and organs",MFG,establishments,1871:V1T1,1,false,35,sparse
VAR_MACH_SM_N,Number of stamping machines,MFG,establishments,1871:V1T1,1,false,46,sparse
VAR_MACH_ST_N,Number of steam engines,MFG,establishments,1871:V1T1,1,false,13,sparse
VAR_MACH_SX_N,Number of sewing machines,MFG,establishments,1871:V1T1,1,false,51,sparse
VAR_MACH_TX_N,Number of threshing machines,AGR,count,1871:V1T1,1,false,71,sparse
VAR_MENNONITES,Number of Mennonites,REL,persons,"1911:V2T2,1921:V1T38",2,true,783,signal
VAR_METHODISTS,Number of Methodists,REL,persons,"1911:V2T2,1921:V1T38",2,true,5551,signal
VAR_MINE_CU_T,Tons of copper produced by mines in the past year,MFG,tons,1861:V2T11,1,false,3,sparse
VAR_MINE_CU_V,Value of copper produced by mines in the past year,MFG,dollars,1861:V2T11,1,false,4,sparse
VAR_MINE_FE_T,Tons of iron produced by mines in the past year,MFG,tons,,0,false,0,undocumented
VAR_MINE_FE_V,Value of iron produced by mines in the past year,MFG,dollars,,0,false,0,undocumented
VAR_MORMONS,Number of Mormons (Latter-day Saints),REL,persons,"1911:V2T2,1921:V1T38",2,true,1030,signal
VAR_MPL_PS_LB,Pounds of maple sugar produced in the past year,AGR,pounds,"1851:V2T6,1861:V2T11",2,true,1625,signal
VAR_M_DIVORCED,Number of divorced males,POP,persons,1911:V1T2,1,false,326,signal
VAR_M_LEGAL_SEP,Number of legally separated males,POP,persons,1911:V1T2,1,false,516,signal
VAR_M_MARRIED,Number of married males,POP,persons,1911:V1T2,1,false,3389,signal
VAR_M_NOT_GIVEN,Number of males with marital status not given,POP,persons,1911:V1T2,1,false,1237,signal
VAR_M_SINGLE,Number of single (never-married) males,POP,persons,1911:V1T2,1,false,3391,signal
VAR_M_WIDOWED,Number of widowed males,POP,persons,1911:V1T2,1,false,3131,signal
VAR_NEGRO,"Persons recorded under the 1911/1921 official census category ""Negro""; refers to people of African descent. Term is now considered offensive and is preserved here only as the historical source label.",ETH,persons,"1911:V2T7,1921:V1T27",2,true,981,signal
VAR_OAT_XX_A,Acres of oats,AGR,acres,"1851:V2T6,1861:V2T11,1891:V4T2",3,true,4204,signal
VAR_OAT_XX_B,Bushels of oats produced in the past year,AGR,bushels,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,6346,signal
VAR_ORIG_AT_HU_N,Number of persons originating in Austria or Hungary,ETH,persons,1851:V1T1,1,false,8,sparse
VAR_ORIG_BI_N,"Number of persons originating in Guernsey, Jersey, or other British islands",ETH,persons,1861:V1T1,1,false,246,signal
VAR_ORIG_BP_N,Number of persons originating in the British Provinces,ETH,persons,1871:V1T1,1,false,71,sparse
VAR_ORIG_CH_N,Number of persons originating in Switzerland,ETH,persons,"1851:V1T1,1861:V1T1",2,true,224,signal
VAR_ORIG_DE_NL_N,Number of persons originating in Germany or Holland,ETH,persons,"1851:V1T1,1861:V1T1",2,true,759,signal
VAR_ORIG_EI_N,Number of persons originating in the East Indies,ETH,persons,"1851:V1T1,1861:V1T1",2,true,184,signal
VAR_ORIG_EN_N,Number of persons originating in England,ETH,persons,1871:V1T1,1,false,70,sparse
VAR_ORIG_ES_PT_N,Number of persons originating in Spain or Portugal,ETH,persons,"1851:V1T1,1861:V1T1",2,true,140,signal
VAR_ORIG_EW_N,Number of persons originating in England or Wales,ETH,persons,"1851:V1T1,1861:V1T1",2,true,1642,signal
VAR_ORIG_FR_N,Number of persons originating in France,ETH,persons,"1851:V1T1,1861:V1T1",2,true,652,signal
VAR_ORIG_GG_N,Number of persons originating in Guernsey,ETH,persons,1851:V1T1,1,false,28,sparse
VAR_ORIG_IR_N,Number of persons originating in Ireland,ETH,persons,"1851:V1T1,1861:V1T1,1871:V1T1",3,true,1802,signal
VAR_ORIG_IT_GR_N,Number of persons originating in Italy or Greece,ETH,persons,"1851:V1T1,1861:V1T1",2,true,135,signal
VAR_ORIG_JI_N,Number of persons originating in Jersey or other British islands,ETH,persons,1851:V1T1,1,false,76,sparse
VAR_ORIG_NB_N,Number of persons originating in New Brunswick,ETH,persons,"1851:V1T1,1861:V1T1",2,true,673,signal
VAR_ORIG_NF_N,Number of persons originating in Newfoundland,ETH,persons,"1851:V1T1,1861:V1T1",2,true,228,signal
VAR_ORIG_NS_PEI_N,Number of persons originating in Nova Scotia or Prince Edward Island,ETH,persons,"1851:V1T1,1861:V1T1",2,true,764,signal
VAR_ORIG_NX_N,Number of persons whose origin is unknown,ETH,persons,"1851:V1T1,1861:V1T1",2,true,383,signal
VAR_ORIG_OTH_N,Number of persons originating in all other places,ETH,persons,"1851:V1T1,1861:V1T1,1871:V1T1",3,true,465,signal
VAR_ORIG_PE_N,Number of persons originating in Prince Edward Island,ETH,persons,1871:V1T1,1,false,71,sparse
VAR_ORIG_RU_PL_N,Number of persons originating in Russia or Poland,ETH,persons,1861:V1T1,1,false,80,sparse
VAR_ORIG_RU_PR_PL_N,"Number of persons originating in Russia, Prussia, or Poland",ETH,persons,1851:V1T1,1,false,35,sparse
VAR_ORIG_SC_N,Number of persons originating in Scotland,ETH,persons,"1851:V1T1,1861:V1T1,1871:V1T1",3,true,1635,signal
VAR_ORIG_SE_NO_N,Number of persons originating in Sweden or Norway,ETH,persons,"1851:V1T1,1861:V1T1",2,true,169,signal
VAR_ORIG_US_N,Number of persons originating in the United States,ETH,persons,"1851:V1T1,1861:V1T1",2,true,1500,signal
VAR_ORIG_WI_N,Number of persons originating in the West Indies,ETH,persons,"1851:V1T1,1861:V1T1",2,true,346,signal
VAR_OTHER_SECTS,Number of adherents of other sects (residual category in 1921),REL,persons,1921:V1T38,1,false,2550,signal
VAR_PAGANS,"Persons recorded under the 1911 official census category ""Pagans""; primarily applied to Indigenous adherents of traditional spiritual practices. The label reflects period Christian-normative framing and is preserved as the historical source category.",REL,persons,1911:V2T2,1,false,87,sparse
VAR_PCT_CAN_READ_AND_WRITE_5YRS_AND_OVER,Percentage of population aged 5 and over who can both read and write,POP,percent,,0,false,0,undocumented
VAR_PCT_CAN_READ_NOR_WRITE_5YRS_AND_OVER,Percentage of population aged 5 and over who can neither read nor write,POP,percent,,0,false,0,undocumented
VAR_PCT_CAN_READ_ONLY_5YRS_AND_OVER,Percentage of population aged 5 and over who can read only,POP,percent,,0,false,0,undocumented
VAR_PEA_BX_A,Bushels of peas and beans produced in the past year,AGR,bushels,1881:V3T24,1,false,1995,signal
VAR_PEA_XX_A,Acres of peas,AGR,acres,"1851:V2T6,1861:V2T11",2,true,1753,signal
VAR_PEA_XX_B,Bushels of peas produced in the past year,AGR,bushels,"1851:V2T6,1861:V2T11,1871:V1T1,1891:V4T2",4,true,4038,signal
VAR_POLISH,Number of persons of Polish origin,ETH,persons,1911:V2T7,1,false,389,signal
VAR_POP,Population in the previous census (1901 reference column included in 1911 V1T1),POP,persons,1911:V1T1,1,false,2534,signal
VAR_POP_5YRS_AND_OVER,Population aged 5 years and over,POP,persons,,0,false,0,undocumented
VAR_POP_AVF_PR,Average size of families,POP,persons,1891:V1T3,1,false,2474,signal
