cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
"CD_ON_Ontario,_West—Ouest",CD_ON_York_N,OVERLAPS,0.1287,0.3339,0.1732,273949531.49
"CD_ON_Ontario,_West—Ouest",CD_ON_Ontario_N,OVERLAPS,0.107,0.2776,0.1484,227769916.02
"CD_ON_Oxford,_North—Nord",CD_ON_Oxford_N,OVERLAPS,0.5947,0.746,0.7458,871064057.54
"CD_ON_Oxford,_North—Nord",CD_ON_Perth_S,OVERLAPS,0.048,0.0911,0.0923,106372679.44
"CD_ON_Oxford,_North—Nord",CD_ON_Perth_N,OVERLAPS,0.088,0.1629,0.1605,190226876.92
"CD_ON_Oxford,_South—Sud",CD_ON_Oxford_S,OVERLAPS,0.5192,0.6684,0.6993,690043903.38
"CD_ON_Oxford,_South—Sud",CD_ON_Brantford,OVERLAPS,0.0398,0.0469,0.2072,48438869.44
"CD_ON_Oxford,_South—Sud",CD_ON_Brant,OVERLAPS,0.1758,0.2846,0.3149,293840437.27
"CD_ON_Perth,_North—Nord",CD_ON_Perth_S,OVERLAPS,0.1249,0.2373,0.2087,240564371.6
"CD_ON_Perth,_North—Nord",CD_ON_Perth_N,OVERLAPS,0.5422,0.7627,0.6523,773010640.33
"CD_ON_Perth,_South—Sud",CD_ON_Perth_S,OVERLAPS,0.5992,0.8075,0.699,805806044.87
"CD_ON_Perth,_South—Sud",CD_ON_Huron_S,OVERLAPS,0.0908,0.1925,0.1467,192155866.46
"CD_ON_Peterborough,_East—Est",CD_ON_Peterborough_W-O,OVERLAPS,0.1004,0.1141,0.4564,727329992.48
"CD_ON_Peterborough,_East—Est",CD_ON_Victoria,OVERLAPS,0.2812,0.4898,0.3977,3122304532.22
"CD_ON_Simcoe,_East—Est",CD_ON_Simcoe_N,OVERLAPS,0.0975,0.1373,0.2517,421377277.29
"CD_ON_Simcoe,_East—Est",CD_ON_Muskoka,OVERLAPS,0.1474,0.3183,0.2155,976749354.62
"CD_ON_Simcoe,_North—Nord",CD_ON_Simcoe_S,OVERLAPS,0.0051,0.0115,0.0091,14534709.8
"CD_ON_Simcoe,_South—Sud",CD_ON_Dufferin,OVERLAPS,0.1106,0.2063,0.1924,300695831.34
"CD_ON_Simcoe,_South—Sud",CD_ON_Simcoe_S,OVERLAPS,0.6085,0.7937,0.7228,1156700334.66
"CD_ON_Toronto,_East—Est,_City—Cité",CD_ON_Toronto_S,OVERLAPS,0.2445,0.5059,0.3212,2675131.64
"CD_ON_Toronto,_East—Est,_City—Cité",CD_ON_Toronto_Centre,OVERLAPS,0.0392,0.062,0.0963,327667.66
"CD_ON_Toronto,_East—Est,_City—Cité",CD_ON_Toronto_N,OVERLAPS,0.0265,0.0649,0.0429,343179.74
