cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_QC_Montréal,"CD_QC_Montreal,_Ste._Marie,_City—Cité",CONTAINS,0.1815,0.1815,1.0,2998620.61
CD_QC_Mégantic,CD_QC_Mégantic,WITHIN,0.9699,0.9949,0.9748,1989548152.72
CD_QC_Napierville,CD_QC_Laprairie_&_Napierville,WITHIN,0.5066,1.0,0.5066,413562197.62
CD_QC_Nicolet,CD_QC_Nicolet,CONTAINS,0.9338,0.9486,0.9836,1535492278.77
"CD_QC_Ottawa,_County—Comté",CD_QC_Labelle,CONTAINS,0.4763,0.4763,1.0,8026604878.0
"CD_QC_Ottawa,_County—Comté",CD_QC_Wright,CONTAINS,0.5237,0.5237,1.0,8826288974.96
CD_QC_Pontiac,CD_QC_Pontiac,SAME_AS,1.0,1.0,1.0,53721204507.33
CD_QC_Portneuf,CD_QC_Portneuf,SAME_AS,1.0,1.0,1.0,3918669563.44
"CD_QC_Quebec,_City—Cité","CD_QC_Quebec,_Centre,_City—Cité",CONTAINS,0.1113,0.1113,1.0,3756458.13
"CD_QC_Quebec,_City—Cité","CD_QC_Quebec,_East-Est,_City—Cité",CONTAINS,0.8034,0.8034,1.0,27103755.29
"CD_QC_Quebec,_County—Comté","CD_QC_Quebec,_County—Comté",SAME_AS,1.0,1.0,1.0,7099589418.73
CD_QC_Richelieu,CD_QC_Richelieu,CONTAINS,0.8814,0.8966,0.9812,453827509.73
CD_QC_Richmond_&_Wolfe,CD_QC_Richmond_&_Wolfe,SAME_AS,1.0,1.0,1.0,3314122915.74
CD_QC_Rimouski,CD_QC_Rimouski,SAME_AS,1.0,1.0,1.0,14585881195.16
CD_QC_Rouville,CD_QC_Rouville,WITHIN,0.8455,1.0,0.8455,622018747.2
CD_QC_Shefford,CD_QC_Shefford,SAME_AS,0.9859,0.9859,1.0,1486005112.44
CD_QC_Sherbrooke,CD_QC_Sherbrooke,SAME_AS,1.0,1.0,1.0,621025105.65
CD_QC_Soulanges,CD_QC_Soulanges,SAME_AS,0.9997,1.0,0.9997,364403188.67
CD_QC_St._Hyacinthe,CD_QC_St._Hyacinthe,SAME_AS,0.9881,0.9881,1.0,721878364.76
CD_QC_St._Maurice,CD_QC_Trois-Rivières_&_St._Maurice,SAME_AS,0.9914,0.9994,0.992,6225231558.01
CD_QC_Stanstead,CD_QC_Stanstead,SAME_AS,1.0,1.0,1.0,1167999401.88
CD_QC_Terrebonne,CD_QC_Terrebonne,SAME_AS,1.0,1.0,1.0,2095863059.39
CD_QC_Trois-Rivières,CD_QC_Trois-Rivières_&_St._Maurice,WITHIN,0.008,1.0,0.008,50289511.97
CD_QC_Témiscouata,CD_QC_Temiscouata,SAME_AS,1.0,1.0,1.0,4958852738.42
CD_QC_Vaudreuil,CD_QC_Vaudreuil,SAME_AS,1.0,1.0,1.0,518975343.61
CD_QC_Verchères,CD_QC_Chambly_&_Verchères,WITHIN,0.5986,1.0,0.5986,552389693.62
CD_QC_Yamaska_,CD_QC_Yamaska,SAME_AS,0.9852,0.9942,0.9909,709354915.77
