from,to,length_m
ON039002_1851,ON041002_1851,5797.87
ON039002_1851,ON039003_1851,15887.69
ON039002_1851,ON039007_1851,1074.75
ON041004_1851,ON041005_1851,10246.53
ON041004_1851,ON041009_1851,3651.64
ON041004_1851,ON041008_1851,7444.7
ON041008_1851,ON044005_1851,3490.0
ON041008_1851,ON044001_1851,2799.54
ON041008_1851,ON044002_1851,1712.85
ON041008_1851,ON044004_1851,2177.37
ON041001_1851,ON041004_1851,15169.67
ON041001_1851,ON041003_1851,19880.6
ON041007_1851,ON041008_1851,9603.93
ON040004_1851,ON040005_1851,9491.09
ON040004_1851,ON040006_1851,1100.67
ON040004_1851,ON040007_1851,13347.82
ON040001_1851,ON040002_1851,15839.36
ON040001_1851,ON040006_1851,10858.11
ON040003_1851,ON040004_1851,4337.49
ON040003_1851,ON040005_1851,4936.48
ON040003_1851,ON040009_1851,2244.15
ON040003_1851,ON040010_1851,1725.99
ON040002_1851,ON040004_1851,15063.14
ON040002_1851,ON040003_1851,10163.73
ON040002_1851,ON040010_1851,4352.03
ON040002_1851,ON040006_1851,429.18
ON040006_1851,ON040007_1851,10343.73
ON040005_1851,ON040009_1851,4065.72
ON040005_1851,ON040007_1851,619.12
ON040005_1851,ON040008_1851,11485.67
ON002006_1851,ON002008_1851,21098.77
ON002006_1851,ON013010_1851,5212.98
ON002006_1851,ON041004_1851,6694.47
ON035011_1851,ON035012_1851,15106.88
ON035011_1851,ON035014_1851,19833.25
ON035011_1851,ON035017_1851,19855.6
ON035017_1851,ON042007_1851,21576.93
ON035017_1851,ON035018_1851,3998.41
ON035012_1851,ON042006_1851,10175.34
ON035012_1851,ON035013_1851,19889.26
ON035012_1851,ON035014_1851,318.87
ON036003_1851,ON036004_1851,14141.03
ON037006_1851,ON037007_1851,13829.49
ON037004_1851,ON037005_1851,13965.43
ON037004_1851,ON037006_1851,6087.96
ON037003_1851,ON037007_1851,13586.95
ON037005_1851,ON037007_1851,19919.45
ON037005_1851,ON037006_1851,14942.11
ON037001_1851,ON037002_1851,11819.57
ON037001_1851,ON037004_1851,14294.53
ON037001_1851,ON037005_1851,5812.03
ON037002_1851,ON037003_1851,18103.52
ON037002_1851,ON037005_1851,14841.8
ON042003_1851,ON042005_1851,6783.13
ON042003_1851,ON042004_1851,14784.12
ON042003_1851,ON042009_1851,19621.71
ON042004_1851,ON042005_1851,17191.38
ON020008_1851,ON020011_1851,5524.73
ON033009_1851,ON033010_1851,11565.23
ON026010_1851,ON042007_1851,25167.88
ON026010_1851,ON035001_1851,7602.72
ON026010_1851,ON035004_1851,4975.67
ON020007_1851,ON020010_1851,28225.29
ON020007_1851,ON020011_1851,23067.25
ON035013_1851,ON035016_1851,19834.78
ON035013_1851,ON035015_1851,127.35
ON035013_1851,ON035014_1851,9799.16
ON020009_1851,ON020010_1851,26888.96
ON020010_1851,ON020011_1851,3216.22
ON002004_1851,ON002007_1851,5996.35
ON002004_1851,ON027008_1851,10393.68
ON002004_1851,ON041004_1851,912.65
ON002004_1851,ON038001_1851,19941.1
ON002004_1851,ON041001_1851,10462.91
ON002008_1851,ON013009_1851,9776.98
ON002008_1851,ON025005_1851,5406.93
ON002008_1851,ON013006_1851,14745.66
ON004004_1851,ON012004_1851,392.41
ON004004_1851,ON004007_1851,16804.57
ON004004_1851,ON012003_1851,7242.64
ON004004_1851,ON004009_1851,16738.16
ON004004_1851,ON004008_1851,12173.36
ON011009_1851,ON039010_1851,19919.21
ON011009_1851,ON039011_1851,14085.0
ON011009_1851,ON035015_1851,19991.29
ON011009_1851,ON011011_1851,16771.08
ON011009_1851,ON035009_1851,1401.38
ON007004_1851,ON007005_1851,13213.32
ON007004_1851,ON007007_1851,11189.01
ON007004_1851,ON023011_1851,762.54
ON007004_1851,ON027006_1851,8667.88
ON007004_1851,ON023009_1851,16230.18
ON008005_1851,ON008008_1851,16971.4
ON008005_1851,ON008009_1851,19345.68
ON008003_1851,ON008006_1851,12223.42
