from,to
PLACE_ON071999,APP_PLACE_ON071999_NAME
PLACE_ON009999,APP_PLACE_ON009999_NAME
PLACE_ON084008,APP_PLACE_ON084008_NAME
PLACE_ON111011,APP_PLACE_ON111011_NAME
PLACE_ON111010,APP_PLACE_ON111010_NAME
PLACE_ON109008,APP_PLACE_ON109008_NAME
PLACE_ON112001,APP_PLACE_ON112001_NAME
PLACE_ON011015,APP_PLACE_ON011015_NAME
PLACE_ON075009,APP_PLACE_ON075009_NAME
PLACE_ON066001,APP_PLACE_ON066001_NAME
PLACE_ON066999,APP_PLACE_ON066999_NAME
PLACE_ON146003,APP_PLACE_ON146003_NAME
PLACE_ON013005,APP_PLACE_ON013005_NAME
PLACE_ON117006,APP_PLACE_ON117006_NAME
PLACE_ON044005,APP_PLACE_ON044005_NAME
PLACE_ON078001,APP_PLACE_ON078001_NAME
PLACE_ON119001,APP_PLACE_ON119001_NAME
PLACE_ON173007,APP_PLACE_ON173007_NAME
PLACE_ON017001,APP_PLACE_ON017001_NAME
PLACE_ON080001,APP_PLACE_ON080001_NAME
PLACE_ON017007,APP_PLACE_ON017007_NAME
PLACE_ON080002,APP_PLACE_ON080002_NAME
PLACE_ON082012,APP_PLACE_ON082012_NAME
PLACE_ON083004,APP_PLACE_ON083004_NAME
PLACE_ON083005,APP_PLACE_ON083005_NAME
PLACE_ON084006,APP_PLACE_ON084006_NAME
PLACE_ON085007,APP_PLACE_ON085007_NAME
PLACE_ON085008,APP_PLACE_ON085008_NAME
PLACE_ON086004,APP_PLACE_ON086004_NAME
PLACE_ON023006,APP_PLACE_ON023006_NAME
PLACE_ON087004,APP_PLACE_ON087004_NAME
PLACE_ON102001,APP_PLACE_ON102001_NAME
PLACE_ON026001,APP_PLACE_ON026001_NAME
PLACE_ON089011,APP_PLACE_ON089011_NAME
PLACE_ON046001,APP_PLACE_ON046001_NAME
PLACE_ON111003,APP_PLACE_ON111003_NAME
PLACE_ON111001,APP_PLACE_ON111001_NAME
PLACE_ON111002_1861,APP_PLACE_ON111002_1861_NAME
PLACE_ON090006,APP_PLACE_ON090006_NAME
PLACE_ON101004,APP_PLACE_ON101004_NAME
PLACE_ON027007,APP_PLACE_ON027007_NAME
PLACE_ON136005,APP_PLACE_ON136005_NAME
PLACE_ON092003,APP_PLACE_ON092003_NAME
PLACE_ON114003,APP_PLACE_ON114003_NAME
PLACE_ON112004,APP_PLACE_ON112004_NAME
PLACE_ON139008,APP_PLACE_ON139008_NAME
PLACE_ON139006,APP_PLACE_ON139006_NAME
PLACE_ON139007,APP_PLACE_ON139007_NAME
PLACE_ON095005,APP_PLACE_ON095005_NAME
PLACE_ON096006,APP_PLACE_ON096006_NAME
PLACE_ON033011,APP_PLACE_ON033011_NAME
PLACE_ON096005,APP_PLACE_ON096005_NAME
PLACE_ON098017,APP_PLACE_ON098017_NAME
PLACE_ON047001,APP_PLACE_ON047001_NAME
PLACE_ON110003,APP_PLACE_ON110003_NAME
PLACE_ON047002,APP_PLACE_ON047002_NAME
PLACE_ON110004,APP_PLACE_ON110004_NAME
PLACE_ON038002,APP_PLACE_ON038002_NAME
PLACE_ON122004,APP_PLACE_ON122004_NAME
PLACE_ON101009,APP_PLACE_ON101009_NAME
PLACE_ON101001,APP_PLACE_ON101001_NAME
PLACE_ON101008,APP_PLACE_ON101008_NAME
PLACE_ON101002,APP_PLACE_ON101002_NAME
PLACE_ON122006,APP_PLACE_ON122006_NAME
PLACE_ON153004,APP_PLACE_ON153004_NAME
PLACE_ON104006,APP_PLACE_ON104006_NAME
PLACE_ON104007,APP_PLACE_ON104007_NAME
PLACE_ON153007,APP_PLACE_ON153007_NAME
PLACE_ON108005,APP_PLACE_ON108005_NAME
PLACE_ON108003,APP_PLACE_ON108003_NAME
PLACE_ON108004,APP_PLACE_ON108004_NAME
PLACE_ON144015,APP_PLACE_ON144015_NAME
PLACE_ON099001,APP_PLACE_ON099001_NAME
PLACE_ON043001,APP_PLACE_ON043001_NAME
PLACE_ON112003,APP_PLACE_ON112003_NAME
PLACE_ON112001_1861,APP_PLACE_ON112001_1861_NAME
PLACE_ON112006,APP_PLACE_ON112006_NAME
PLACE_ON112005,APP_PLACE_ON112005_NAME
PLACE_ON112004_1861,APP_PLACE_ON112004_1861_NAME
PLACE_ON112002,APP_PLACE_ON112002_NAME
PLACE_ON112008,APP_PLACE_ON112008_NAME
PLACE_ON105011,APP_PLACE_ON105011_NAME
PLACE_ON136004,APP_PLACE_ON136004_NAME
PLACE_ON044002,APP_PLACE_ON044002_NAME
PLACE_ON105004,APP_PLACE_ON105004_NAME
PLACE_ON104005,APP_PLACE_ON104005_NAME
PLACE_ON108001,APP_PLACE_ON108001_NAME
PLACE_ON045007,APP_PLACE_ON045007_NAME
PLACE_ON109007,APP_PLACE_ON109007_NAME
PLACE_ON045005,APP_PLACE_ON045005_NAME
PLACE_ON109003,APP_PLACE_ON109003_NAME
PLACE_ON083002,APP_PLACE_ON083002_NAME
PLACE_ON065007,APP_PLACE_ON065007_NAME
PLACE_ON082009,APP_PLACE_ON082009_NAME
PLACE_ON083003,APP_PLACE_ON083003_NAME
PLACE_ON045009,APP_PLACE_ON045009_NAME
PLACE_ON045008,APP_PLACE_ON045008_NAME
PLACE_ON045010,APP_PLACE_ON045010_NAME
PLACE_ON045013,APP_PLACE_ON045013_NAME
PLACE_ON045011,APP_PLACE_ON045011_NAME
PLACE_ON109004,APP_PLACE_ON109004_NAME
PLACE_ON045012,APP_PLACE_ON045012_NAME
PLACE_ON018011,APP_PLACE_ON018011_NAME
PLACE_ON081010,APP_PLACE_ON081010_NAME
PLACE_ON018009,APP_PLACE_ON018009_NAME
PLACE_ON013008,APP_PLACE_ON013008_NAME
PLACE_ON044006,APP_PLACE_ON044006_NAME
PLACE_ON078002,APP_PLACE_ON078002_NAME
PLACE_ON035010,APP_PLACE_ON035010_NAME
PLACE_ON138003,APP_PLACE_ON138003_NAME
PLACE_ON105005,APP_PLACE_ON105005_NAME
PLACE_ON043002,APP_PLACE_ON043002_NAME
PLACE_ON112007,APP_PLACE_ON112007_NAME
PLACE_ON043004,APP_PLACE_ON043004_NAME
PLACE_ON043007,APP_PLACE_ON043007_NAME
PLACE_ON043009,APP_PLACE_ON043009_NAME
PLACE_ON043008,APP_PLACE_ON043008_NAME
PLACE_ON043006,APP_PLACE_ON043006_NAME
PLACE_ON043003,APP_PLACE_ON043003_NAME
PLACE_ON043005,APP_PLACE_ON043005_NAME
PLACE_ON043010,APP_PLACE_ON043010_NAME
PLACE_ON033002,APP_PLACE_ON033002_NAME
PLACE_NT999999,APP_PLACE_NT999999_NAME
PLACE_ON093007,APP_PLACE_ON093007_NAME
PLACE_ON084003,APP_PLACE_ON084003_NAME
PLACE_ON093999,APP_PLACE_ON093999_NAME
PLACE_ON072001,APP_PLACE_ON072001_NAME
PLACE_ON072010,APP_PLACE_ON072010_NAME
PLACE_ON084005,APP_PLACE_ON084005_NAME
PLACE_ON078999,APP_PLACE_ON078999_NAME
PLACE_ON072007,APP_PLACE_ON072007_NAME
PLACE_ON096999,APP_PLACE_ON096999_NAME
PLACE_ON096008,APP_PLACE_ON096008_NAME
PLACE_ON096018,APP_PLACE_ON096018_NAME
PLACE_ON096002,APP_PLACE_ON096002_NAME
PLACE_ON100003,APP_PLACE_ON100003_NAME
PLACE_ON100010,APP_PLACE_ON100010_NAME
PLACE_ON098011,APP_PLACE_ON098011_NAME
PLACE_ON107000,APP_PLACE_ON107000_NAME
PLACE_ON096014,APP_PLACE_ON096014_NAME
PLACE_ON096016,APP_PLACE_ON096016_NAME
PLACE_ON100004,APP_PLACE_ON100004_NAME
PLACE_ON100005,APP_PLACE_ON100005_NAME
PLACE_ON100012,APP_PLACE_ON100012_NAME
PLACE_ON100013,APP_PLACE_ON100013_NAME
PLACE_ON093014,APP_PLACE_ON093014_NAME
PLACE_ON100001,APP_PLACE_ON100001_NAME
PLACE_ON100009,APP_PLACE_ON100009_NAME
PLACE_ON093009,APP_PLACE_ON093009_NAME
PLACE_ON100999,APP_PLACE_ON100999_NAME
PLACE_ON106001,APP_PLACE_ON106001_NAME
PLACE_ON106002,APP_PLACE_ON106002_NAME
PLACE_QC002008,APP_PLACE_QC002008_NAME
PLACE_QC002003,APP_PLACE_QC002003_NAME
PLACE_QC002999,APP_PLACE_QC002999_NAME
PLACE_QC055001,APP_PLACE_QC055001_NAME
PLACE_QC002001,APP_PLACE_QC002001_NAME
PLACE_QC080011,APP_PLACE_QC080011_NAME
PLACE_QC096002,APP_PLACE_QC096002_NAME
PLACE_QC078009,APP_PLACE_QC078009_NAME
PLACE_QC143003,APP_PLACE_QC143003_NAME
PLACE_QC078008,APP_PLACE_QC078008_NAME
PLACE_QC138011,APP_PLACE_QC138011_NAME
PLACE_QC062999,APP_PLACE_QC062999_NAME
PLACE_QC005001,APP_PLACE_QC005001_NAME
PLACE_QC005005,APP_PLACE_QC005005_NAME
PLACE_QC005003,APP_PLACE_QC005003_NAME
PLACE_QC005018,APP_PLACE_QC005018_NAME
PLACE_QC048011,APP_PLACE_QC048011_NAME
PLACE_QC048010,APP_PLACE_QC048010_NAME
PLACE_QC145006,APP_PLACE_QC145006_NAME
PLACE_QC049011,APP_PLACE_QC049011_NAME
PLACE_QC017001,APP_PLACE_QC017001_NAME
PLACE_QC045009,APP_PLACE_QC045009_NAME
PLACE_QC049007,APP_PLACE_QC049007_NAME
PLACE_QC162003,APP_PLACE_QC162003_NAME
PLACE_QC141003,APP_PLACE_QC141003_NAME
PLACE_QC007999,APP_PLACE_QC007999_NAME
PLACE_QC049004,APP_PLACE_QC049004_NAME
PLACE_QC049003,APP_PLACE_QC049003_NAME
PLACE_QC042017,APP_PLACE_QC042017_NAME
PLACE_QC142003,APP_PLACE_QC142003_NAME
PLACE_QC043012,APP_PLACE_QC043012_NAME
PLACE_QC169004,APP_PLACE_QC169004_NAME
PLACE_QC169011,APP_PLACE_QC169011_NAME
PLACE_QC169003,APP_PLACE_QC169003_NAME
PLACE_QC075007,APP_PLACE_QC075007_NAME
PLACE_QC033002,APP_PLACE_QC033002_NAME
PLACE_QC144004,APP_PLACE_QC144004_NAME
PLACE_QC052004,APP_PLACE_QC052004_NAME
PLACE_QC046011,APP_PLACE_QC046011_NAME
PLACE_QC052002,APP_PLACE_QC052002_NAME
PLACE_QC011005,APP_PLACE_QC011005_NAME
PLACE_QC082004,APP_PLACE_QC082004_NAME
PLACE_QC145012,APP_PLACE_QC145012_NAME
PLACE_QC098003,APP_PLACE_QC098003_NAME
PLACE_QC082005,APP_PLACE_QC082005_NAME
PLACE_QC098005,APP_PLACE_QC098005_NAME
PLACE_QC053004,APP_PLACE_QC053004_NAME
PLACE_QC053003,APP_PLACE_QC053003_NAME
PLACE_QC012003,APP_PLACE_QC012003_NAME
PLACE_QC012007,APP_PLACE_QC012007_NAME
PLACE_QC053005,APP_PLACE_QC053005_NAME
PLACE_QC047017,APP_PLACE_QC047017_NAME
PLACE_QC048014,APP_PLACE_QC048014_NAME
PLACE_QC048016,APP_PLACE_QC048016_NAME
PLACE_QC015005,APP_PLACE_QC015005_NAME
PLACE_QC097006,APP_PLACE_QC097006_NAME
PLACE_QC097007,APP_PLACE_QC097007_NAME
PLACE_QC080008,APP_PLACE_QC080008_NAME
PLACE_QC056009,APP_PLACE_QC056009_NAME
PLACE_QC056007,APP_PLACE_QC056007_NAME
PLACE_QC052007,APP_PLACE_QC052007_NAME
PLACE_QC052010,APP_PLACE_QC052010_NAME
PLACE_QC080003,APP_PLACE_QC080003_NAME
PLACE_QC056012,APP_PLACE_QC056012_NAME
PLACE_QC056013,APP_PLACE_QC056013_NAME
PLACE_QC160001,APP_PLACE_QC160001_NAME
PLACE_QC017003,APP_PLACE_QC017003_NAME
PLACE_QC159002,APP_PLACE_QC159002_NAME
PLACE_QC049012,APP_PLACE_QC049012_NAME
PLACE_QC017011,APP_PLACE_QC017011_NAME
PLACE_QC054010,APP_PLACE_QC054010_NAME
PLACE_QC055006,APP_PLACE_QC055006_NAME
PLACE_QC003007,APP_PLACE_QC003007_NAME
PLACE_QC056010,APP_PLACE_QC056010_NAME
PLACE_QC056003,APP_PLACE_QC056003_NAME
PLACE_QC019002,APP_PLACE_QC019002_NAME
PLACE_QC019017,APP_PLACE_QC019017_NAME
PLACE_QC056999,APP_PLACE_QC056999_NAME
PLACE_QC019999,APP_PLACE_QC019999_NAME
PLACE_QC048012,APP_PLACE_QC048012_NAME
PLACE_QC065006,APP_PLACE_QC065006_NAME
PLACE_QC050014,APP_PLACE_QC050014_NAME
PLACE_QC087010,APP_PLACE_QC087010_NAME
PLACE_QC025005,APP_PLACE_QC025005_NAME
PLACE_QC050008,APP_PLACE_QC050008_NAME
PLACE_QC025004,APP_PLACE_QC025004_NAME
PLACE_QC025003,APP_PLACE_QC025003_NAME
PLACE_QC050010,APP_PLACE_QC050010_NAME
PLACE_QC025009,APP_PLACE_QC025009_NAME
PLACE_QC050011,APP_PLACE_QC050011_NAME
PLACE_QC025010,APP_PLACE_QC025010_NAME
PLACE_QC025011,APP_PLACE_QC025011_NAME
PLACE_QC058003,APP_PLACE_QC058003_NAME
PLACE_QC042001,APP_PLACE_QC042001_NAME
PLACE_QC026008,APP_PLACE_QC026008_NAME
PLACE_QC058005,APP_PLACE_QC058005_NAME
PLACE_QC067004,APP_PLACE_QC067004_NAME
PLACE_QC097002,APP_PLACE_QC097002_NAME
PLACE_QC039012,APP_PLACE_QC039012_NAME
PLACE_QC067999,APP_PLACE_QC067999_NAME
