from,to,iou
QC067006_1851,QC040006_1861,1.0
QC068005_1851,QC041001_1861,1.0
QC068009_1851,QC041003_1861,1.0
QC068002_1851,QC041004_1861,1.0
QC068010_1851,QC041005_1861,1.0
QC068011_1851,QC041007_1861,1.0
QC068006_1851,QC041008_1861,1.0
QC068001_1851,QC041009_1861,1.0
QC068008_1851,QC041010_1861,1.0
QC068007_1851,QC041011_1861,1.0
QC069005_1851,QC042003_1861,1.0
QC069006_1851,QC042009_1861,1.0
QC069002_1851,QC042012_1861,1.0
QC070001_1851,QC043003_1861,1.0
QC071018_1851,QC045002_1861,1.0
QC071012_1851,QC045009_1861,1.0
QC071011_1851,QC045013_1861,1.0
QC071019_1851,QC045004_1861,1.0
QC072010_1851,QC046004_1861,1.0
QC072004_1851,QC046006_1861,0.9905
QC072003_1851,QC046007_1861,1.0
QC078003_1851,QC050001_1861,0.9855
QC078001_1851,QC050007_1861,0.9861
QC078004_1851,QC050004_1861,0.9813
QC072002_1851,QC022003_1861,1.0
QC072012_1851,QC022005_1861,1.0
QC075003_1851,QC048001_1861,1.0
QC075004_1851,QC048002_1861,0.9872
QC075001_1851,QC048004_1861,1.0
QC075005_1851,QC048006_1861,1.0
QC075006_1851,QC048007_1861,1.0
QC077007_1851,QC053002_1861,1.0
QC077002_1851,QC053003_1861,0.9998
QC077003_1851,QC053004_1861,0.9997
QC077006_1851,QC053005_1861,0.9998
QC077001_1851,QC053006_1861,0.9998
QC079008_1851,QC055003_1861,1.0
QC079003_1851,QC055004_1861,1.0
QC079001_1851,QC055009_1861,1.0
QC073004_1851,QC052001_1861,1.0
QC073006_1851,QC052002_1861,1.0
QC073003_1851,QC052004_1861,1.0
QC081004_1851,QC057004_1861,1.0
QC081001_1851,QC057001_1861,1.0
QC081011_1851,QC057002_1861,1.0
QC081005_1851,QC057003_1861,1.0
QC081003_1851,QC057005_1861,1.0
QC067009_1851,QC039017_1861,1.0
QC067024_1851,QC039026_1861,1.0
QC067015_1851,QC039028_1861,1.0
QC067022_1851,QC039038_1861,1.0
QC083004_1851,QC060001_1861,1.0
QC083001_1851,QC060003_1861,1.0
QC083005_1851,QC060006_1861,1.0
QC083002_1851,QC060005_1861,1.0
QC064999_1851,QC036999_1861,1.0
QC051009_1851,QC009006_1861,1.0
QC080009_1851,QC056006_1861,1.0
QC064004_1851,QC036004_1861,1.0
QC069004_1851,QC042002_1861,0.997
QC069999_1851,QC042999_1861,1.0
QC067007_1851,QC040005_1861,1.0
QC075002_1851,QC048005_1861,1.0
QC082001_1851,QC058006_1861,0.9992
QC067021_1851,QC039036_1861,1.0
QC050001_1851,QC008004_1861,1.0
QC052007_1851,QC011004_1861,0.9912
QC058999_1851,QC026999_1861,1.0
QC058008_1851,QC026012_1861,1.0
QC069007_1851,QC042010_1861,1.0
QC067023_1851,QC040016_1861,1.0
QC067020_1851,QC040014_1861,1.0
QC062014_1851,QC005010_1861,1.0
QC062011_1851,QC005004_1861,1.0
QC062013_1851,QC005002_1861,1.0
QC060007_1851,QC023004_1861,1.0
QC058010_1851,QC026009_1861,1.0
QC067014_1851,QC040010_1861,1.0
QC069013_1851,QC042004_1861,1.0
QC071020_1851,QC045005_1861,1.0
QC067010_1851,QC039021_1861,1.0
QC085999_1851,QC061999_1861,1.0
ON066002_1861,ON028006_1871,1.0
ON066003_1861,ON028005_1871,1.0
ON066014_1861,ON028002_1871,1.0
ON066012_1861,ON027006_1871,1.0
ON066015_1861,ON028003_1871,1.0
ON066004_1861,ON027008_1871,1.0
ON066006_1861,ON027004_1871,1.0
ON066007_1861,ON027003_1871,1.0
