presence_id:ID,csd_tcpuid,census_year:int,area_sqm:float,:LABEL
ON072007_1891,ON072007,1891,3890591.03,E93_Presence
ON072003_1891,ON072003,1891,3378985.16,E93_Presence
ON074002_1891,ON074002,1891,204767547.43,E93_Presence
ON074003_1891,ON074003,1891,223459565.4,E93_Presence
ON074004_1891,ON074004,1891,588672380.21,E93_Presence
ON073002_1891,ON073002,1891,425875161.9,E93_Presence
ON074007_1891,ON074007,1891,230620377.54,E93_Presence
ON074008_1891,ON074008,1891,290630949.2,E93_Presence
ON074011_1891,ON074011,1891,215116007.38,E93_Presence
ON074012_1891,ON074012,1891,468873935.72,E93_Presence
ON073003_1891,ON073003,1891,246955600.27,E93_Presence
ON074016_1891,ON074016,1891,476849992.52,E93_Presence
ON073004_1891,ON073004,1891,419307146.51,E93_Presence
ON073001_1891,ON073001,1891,2598602.06,E93_Presence
ON074009_1891,ON074009,1891,2597349.83,E93_Presence
ON074001_1891,ON074001,1891,617388143.92,E93_Presence
ON074005_1891,ON074005,1891,259837140.62,E93_Presence
ON074006_1891,ON074006,1891,240224402.85,E93_Presence
ON074010_1891,ON074010,1891,605553157.86,E93_Presence
ON074013_1891,ON074013,1891,291304096.77,E93_Presence
ON075003_1891,ON075003,1891,322218211.32,E93_Presence
ON074017_1891,ON074017,1891,237176003.88,E93_Presence
ON075001_1891,ON075001,1891,11274638.56,E93_Presence
ON075004_1891,ON075004,1891,2598513.81,E93_Presence
ON074015_1891,ON074015,1891,2597532.61,E93_Presence
ON076003_1891,ON076003,1891,282510344.92,E93_Presence
ON076004_1891,ON076004,1891,299887926.44,E93_Presence
ON076005_1891,ON076005,1891,240475897.83,E93_Presence
ON076006_1891,ON076006,1891,157307973.18,E93_Presence
ON078004_1891,ON078004,1891,184356492.78,E93_Presence
ON076007_1891,ON076007,1891,2597996.23,E93_Presence
ON076001_1891,ON076001,1891,2597996.03,E93_Presence
ON076002_1891,ON076002,1891,2597996.08,E93_Presence
ON076008_1891,ON076008,1891,2597981.9,E93_Presence
ON077002_1891,ON077002,1891,238137639.32,E93_Presence
