wikidata_qid,wikidata_label,place_id,place_type,name,province,year_min,year_max,num_years,num_chains_for_qid
Q1427949,Delisle,PLACE_SK216016,CSD,Delisle vl (T34 R8 MW3),SK,1911,1911,1,2
Q1427949,Delisle,PLACE_SK182023_1921,CSD,"Delisle, T-V",SK,1921,1921,1,2
Q143227,Saint-Georges,PLACE_QC054017_1851,CSD,St. George,QC,1851,1851,1,5
Q143227,Saint-Georges,PLACE_QC048010_1861,CSD,St. George,QC,1861,1881,3,5
Q143227,Saint-Georges,PLACE_QC139017,CSD,St. George,QC,1891,1891,1,5
Q143227,Saint-Georges,PLACE_QC139014,CSD,St. George,QC,1901,1901,1,5
Q143227,Saint-Georges,PLACE_QC144012_1911,CSD,St. Georges,QC,1911,1911,1,5
Q143360,Saint-Sauveur,PLACE_QC055007_1861,CSD,St. Sauveur,QC,1861,1861,1,2
Q143360,Saint-Sauveur,PLACE_QC202013,CSD,St. Sauveur,QC,1871,1911,5,2
Q1436530,Nipissing District,CD_ON_Nipissing,CD,Nipissing,ON,1861,1861,1,2
Q1436530,Nipissing District,CD_ON_Nipissing_1891,CD,Nipissing,ON,1891,1921,4,2
Q1436809,Whycocomagh,PLACE_NS036020,CSD,Whycocomagh,NS,1871,1891,3,4
Q1436809,Whycocomagh,PLACE_NS036021,CSD,Whycocomagh S,NS,1891,1891,1,4
Q1436809,Whycocomagh,PLACE_NS035024_1901,CSD,"Whycocomagh, North side—Côté nord",NS,1901,1901,1,4
Q1436809,Whycocomagh,PLACE_NS035025,CSD,"Whycocomagh, South side—Côté sud",NS,1901,1901,1,4
Q1437636,Simcoe County,CD_ON_Simcoe,CD,Simcoe,ON,1851,1861,2,2
Q1437636,Simcoe County,CD_ON_Simcoe_1921,CD,Simcoe,ON,1921,1921,1,2
Q1438546,Fort Frances,PLACE_ON044043,CSD,Fort Frances,ON,1901,1901,1,3
Q1438546,Fort Frances,PLACE_ON123122_1911,CSD,Fort Frances t-v,ON,1911,1911,1,3
Q1438546,Fort Frances,PLACE_ON141047,CSD,"Fort Frances, T-V",ON,1911,1921,2,3
Q1438830,Fort William,PLACE_ON182031,CSD,Fort William,ON,1881,1881,1,4
Q1438830,Fort William,PLACE_ON044044,CSD,"Fort William, Town—Ville",ON,1901,1901,1,4
Q1438830,Fort William,PLACE_ON123119_1911,CSD,Fort William c,ON,1911,1911,1,4
Q1438830,Fort William,PLACE_ON147036,CSD,"Fort William, C",ON,1911,1921,2,4
Q1474128,Lachine,PLACE_QC065009_1851,CSD,"Lachine, Village",QC,1851,1851,1,8
Q1474128,Lachine,PLACE_QC024001_1861,CSD,"Lachine, Parish",QC,1861,1861,1,8
Q1474128,Lachine,PLACE_QC108002,CSD,"Lachine, Village",QC,1861,1871,2,8
Q1474128,Lachine,PLACE_QC108001,CSD,Lachine,QC,1871,1871,1,8
Q1474128,Lachine,PLACE_QC157004_1881,CSD,"Lachine, Town—Ville",QC,1881,1901,3,8
Q1474128,Lachine,PLACE_QC158001_1881,CSD,Lachine,QC,1881,1891,2,8
Q1474128,Lachine,PLACE_QC162013,CSD,Lachine t-v,QC,1911,1911,1,8
Q1474128,Lachine,PLACE_QC076012_1921,CSD,"Lachine, C",QC,1921,1921,1,8
Q14874822,Innisfree,PLACE_AB007008,CSD,Innisfree vl (T51 R11 MW4),AB,1911,1911,1,2
Q14874822,Innisfree,PLACE_AB198026_1921,CSD,"Innisfree, VL",AB,1921,1921,1,2
Q14874824,Islay,PLACE_AB007009,CSD,Islay vl (T51 R10 MW4),AB,1911,1911,1,2
Q14874824,Islay,PLACE_AB198027_1921,CSD,"Islay, VL",AB,1921,1921,1,2
Q14874936,Colgate,PLACE_SK214016,CSD,Colgate vl (T5 R15 MW2),SK,1911,1911,1,2
Q14874936,Colgate,PLACE_SK172031_1921,CSD,"Colgate, VL",SK,1921,1921,1,2
Q14875251,Leeds County,CD_ON_Leeds,CD,Leeds,ON,1851,1861,2,2
Q14875251,Leeds County,CD_ON_Leeds_1911,CD,Leeds,ON,1911,1921,2,2
Q14875509,Bécancour,PLACE_QC038001,CSD,Bécancour,QC,1851,1861,2,6
Q14875509,Bécancour,PLACE_QC135005,CSD,Bécancour,QC,1871,1871,1,6
Q14875509,Bécancour,PLACE_QC179002,CSD,Bécancour,QC,1881,1901,3,6
Q14875509,Bécancour,PLACE_QC078026,CSD,"Bécancour, VL",QC,1911,1921,2,6
Q14875509,Bécancour,PLACE_QC184001_1911,CSD,Bécancour,QC,1911,1911,1,6
Q14875509,Bécancour,PLACE_QC078001_1921,CSD,Bécancour,QC,1921,1921,1,6
Q14875569,Sainte-Foy,PLACE_QC069008_1851,CSD,Ste. Foye,QC,1851,1851,1,2
Q14875569,Sainte-Foy,PLACE_QC081010_1881,CSD,Ste. Foye,QC,1881,1921,5,2
Q14875636,Saint Stephen Parish,PLACE_NB175009,CSD,Saint Stephen,NB,1871,1871,1,4
Q14875636,Saint Stephen Parish,PLACE_NB013015,CSD,St. Stephen's,NB,1881,1891,2,4
Q14875636,Saint Stephen Parish,PLACE_NB015015,CSD,St. Stephen,NB,1901,1901,1,4
Q14875636,Saint Stephen Parish,PLACE_NB024014,CSD,St. Stephen,NB,1911,1921,2,4
Q14875716,Merigomish,PLACE_NS050021,CSD,Merigomish,NS,1881,1911,4,2
Q14875716,Merigomish,PLACE_NS016022,CSD,Merigonish,NS,1921,1921,1,2
Q1520380,Victoria County,CD_NB_Victoria,CD,Victoria,NB,1871,1911,5,2
Q1520380,Victoria County,CD_NB_Victoria_1921,CD,Victoria,NB,1921,1921,1,2
Q1525404,Wellington County,CD_ON_Wellington,CD,Wellington,ON,1851,1861,2,2
Q1525404,Wellington County,CD_ON_Wellington_1921,CD,Wellington,ON,1921,1921,1,2
Q153470,Pilot Mound,PLACE_MB017005,CSD,Pilot Mound vl (T3 R11 MW1),MB,1911,1911,1,2
Q153470,Pilot Mound,PLACE_MB157012_1921,CSD,"Pilot Mound, VL",MB,1921,1921,1,2
Q1546177,Grey County,CD_ON_Grey,CD,Grey,ON,1851,1861,2,2
Q1546177,Grey County,CD_ON_Grey_1921,CD,Grey,ON,1921,1921,1,2
Q1588807,Hastings County,CD_ON_Hastings,CD,Hastings,ON,1851,1861,2,2
Q1588807,Hastings County,CD_ON_Hastings_1921,CD,Hastings,ON,1921,1921,1,2
Q15982096,Galt,PLACE_ON038006_1851,CSD,Galt,ON,1851,1851,1,5
Q15982096,Galt,PLACE_ON101003_1861,CSD,"Galt, Town of",ON,1861,1861,1,5
Q15982096,Galt,PLACE_ON122003,CSD,"Galt, Town—Ville",ON,1871,1901,4,5
Q15982096,Galt,PLACE_ON131004_1911,CSD,Galt t-v,ON,1911,1911,1,5
Q15982096,Galt,PLACE_ON150006_1921,CSD,"Galt, C",ON,1921,1921,1,5
Q1617717,Stormont County,CD_ON_Stormont,CD,Stormont,ON,1851,1901,6,2
Q1617717,Stormont County,CD_ON_Stormont_1891,CD,Stormont,ON,1891,1921,4,2
